,Periodo,Total,Edificación,"Agua, riego y saneamiento",Electricidad y comunicaciones,Transporte,Petróleo y petroquímica,Otras construcciones,Año
0,Enero,-4.2,-0.3,5.5,-0.9,-5.8,-3.4,-3.2,2012
1,Febrero,0.4,0.1,-5.1,-5.1,1.9,-3.5,3.7,2012
2,Marzo,0.4,-0.4,4,-1.3,1.9,10.3,-0.9,2012
3,Abril,0,4.9,-9.9,-2.6,0.5,-4.5,0.3,2012
4,Mayo,1.3,0.4,7.5,5.8,2.5,4.8,0.3,2012
5,Junio,0.9,-0.5,-1.4,3,-0.1,-3.4,5,2012
6,Julio,0.7,0.4,-0.3,-9,2.1,3.8,5.8,2012
7,Agosto,1.2,-4.7,-1.2,2.7,3.7,7.2,0.6,2012
8,Septiembre,-0.1,2.4,-0.8,-5.8,-2.2,3.2,4.5,2012
9,Octubre,-0.2,-0.2,-4.1,-1.2,-1,-3.9,5,2012
10,Noviembre,-1,1.1,-9,-5.3,-4,-2.1,-1.2,2012
11,Diciembre,-3.7,-4.3,-7.4,3.2,-0.7,-1.5,-2.8,2012
12,Enero,1.1,-2.3,-7.2,8.5,-1.4,-4.8,8.8,2013
13,Febrero,-0.3,1,11.7,1.3,-6.5,5.3,6.2,2013
14,Marzo,-0.9,0.3,-15.6,9.5,-5.4,-0.5,-0.6,2013
15,Abril,1.2,1,27.1,-3.7,0.8,0.4,16.9,2013
16,Mayo,-1.7,-4.5,-1.5,-4,0.4,1,-1.8,2013
17,Junio,-0.1,-4.4,7.4,8.7,1.2,3.5,-1.9,2013
18,Julio,-0.6,1.5,3.2,9.6,-3.1,-1.4,-2.2,2013
19,Agosto,-0.6,3.9,-7.3,2.7,-5.6,-15,-3.3,2013
20,Septiembre,-2.7,-6.7,-16.8,-13.8,8.6,-6.1,-0.2,2013
21,Octubre,1.4,5.7,9.6,7.5,-0.1,6.8,-15.5,2013
22,Noviembre,-0.7,-2.2,1.3,-8.8,1.3,2.9,11,2013
23,Diciembre,3.2,2.6,9.1,2.2,0.6,-2.2,7.5,2013
24,Enero,-0.1,3.4,-5.6,-14.2,-0.4,-8.8,0.7,2014
25,Febrero,-0.2,-0.1,-0.6,15,-1.7,-2,2.4,2014
26,Marzo,-1.2,0.9,-1.7,-12.9,-4.7,-3,1.3,2014
27,Abril,0.5,-2.3,-3.9,5.2,6.5,18.5,-4.3,2014
28,Mayo,0.6,1.4,7.7,-7.4,-5,-1.1,5.9,2014
29,Junio,-0.5,2.3,-16.9,12.2,-0.5,-11.7,-1.3,2014
30,Julio,-3.8,-3.3,-1.4,-5.4,0.5,5.9,-6.5,2014
31,Agosto,3.7,1.9,11.1,-1.4,4.8,4,-1.1,2014
32,Septiembre,0.8,-1.5,5.9,11.3,0,-7.7,5.2,2014
33,Octubre,-0.3,2.9,-5.1,-6.3,-1,6.3,-9.8,2014
34,Noviembre,2.1,0.7,9.5,10.2,2.5,2.5,4.2,2014
35,Diciembre,-2.1,-1.2,-5.2,-12.7,-0.6,-1.7,-0.1,2014
36,Enero,-0.8,-4.8,-1.9,6.7,-3.9,23.3,2.8,2015
37,Febrero,-0.7,1.8,-12.2,-3.1,-3.6,8.1,-6.1,2015
38,Marzo,2.1,4,9,0.3,-9.8,2.6,9.5,2015
39,Abril,-1.9,-3.3,-6.1,-0.1,2.8,0.5,-5.8,2015
40,Mayo,1.5,0.8,-11.9,7.4,9.2,-12.2,0,2015
41,Junio,-0.8,-3,21.8,-11.8,4.9,8.9,-1.7,2015
42,Julio,1,2.2,-9,11.6,0.8,1.1,-4.8,2015
43,Agosto,-0.8,-1.1,-5.3,0.5,2.7,-0.2,-8.6,2015
44,Septiembre,2.2,4.6,19.3,9.3,-7.9,5.9,5.2,2015
45,Octubre,-4.1,-8.6,-8.4,-8.8,0.2,-8.3,4.3,2015
46,Noviembre,-0.6,0.5,-4.9,5,-3.6,-2.3,-3.6,2015
47,Diciembre,0,1,-4.4,1.8,-3.3,14.7,-1.5,2015
48,Enero,0.9,3.1,2.3,-21.1,5.7,-9.4,-0.8,2016
49,Febrero,0.3,0.4,7.1,16.6,5.4,-12.1,-0.7,2016
50,Marzo,-1.2,-2.3,-3.1,11.5,-2.3,-3.3,0.5,2016
51,Abril,-1.3,0.3,-1.6,12.8,0.4,-22.3,-1.6,2016
52,Mayo,0.1,-0.7,15.9,1.2,-3.8,8.4,1,2016
53,Junio,0.7,4.5,-6.6,2.2,-3.1,-4.6,-5.3,2016
54,Julio,-0.4,0.8,-5.9,-4.2,-1.6,-17.1,10.4,2016
55,Agosto,-0.7,0.3,9.2,-3.7,-2.2,3.1,3.5,2016
56,Septiembre,0,-3.7,-10.7,1.9,6.4,2.8,-2.6,2016
57,Octubre,1.7,6.8,11.3,-11.3,-4.2,-6.5,2.1,2016
58,Noviembre,2,5.4,5.8,4.2,-6.3,-9.9,4.6,2016
59,Diciembre,0.8,-3.2,12.3,1.5,16.3,-8.6,1,2016
60,Enero,-1.6,-2.9,-17.2,6.5,2.1,-1,-9.1,2017
61,Febrero,1,1.3,-3.5,6.4,-3,-3.9,8.5,2017
62,Marzo,-2.6,-3.1,4.4,-10.3,2.9,-17.7,-5.4,2017
63,Abril,1.4,3.8,7.4,-4.1,-6.2,0.8,14.5,2017
64,Mayo,-3.9,-2,-15.7,0.2,-0.4,-6.9,-7.5,2017
65,Junio,-0.8,-1,-11.6,-0.8,-4.7,2,8.2,2017
66,Julio,0.6,-1.7,19.8,0.9,3.1,3.4,0.3,2017
