Año,Mes,País,Producto,Exportacion
2024,Enero,Argentina,Largos,7.79
2024,Enero,Argentina,Planos,29.406
2024,Enero,Argentina,Tubos Sin Costura,16.536
2024,Enero,Argentina,Laminados,53.732
2024,Enero,Bolivia,Largos,0.0001924
2024,Enero,Bolivia,Planos,0.09537035
2024,Enero,Bolivia,Tubos Sin Costura,0.0
2024,Enero,Bolivia,Laminados,0.09556275
2024,Enero,Brasil,Largos,90.51
2024,Enero,Brasil,Planos,75.684
2024,Enero,Brasil,Tubos Sin Costura,0.0
2024,Enero,Brasil,Laminados,166.19400000000002
2024,Enero,Chile,Largos,21.918789
2024,Enero,Chile,Planos,2.95612884
2024,Enero,Chile,Tubos Sin Costura,0.30625616000000006
2024,Enero,Chile,Laminados,25.181174000000002
2024,Enero,Colombia,Largos,0.25166857
2024,Enero,Colombia,Planos,0.30739478
2024,Enero,Colombia,Tubos Sin Costura,1.29655741
2024,Enero,Colombia,Laminados,1.8556207599999999
2024,Enero,Costa Rica,Largos,9.89406871
2024,Enero,Costa Rica,Planos,4.803545950000002
2024,Enero,Costa Rica,Tubos Sin Costura,0.008464010000000001
2024,Enero,Costa Rica,Laminados,14.706078670000004
2024,Enero,Ecuador,Largos,0.27652059999999995
2024,Enero,Ecuador,Planos,0.163933
2024,Enero,Ecuador,Tubos Sin Costura,0.10479779999999998
2024,Enero,Ecuador,Laminados,0.5452513999999999
2024,Enero,El Salvador,Largos,6.042722
2024,Enero,El Salvador,Planos,5.688276100000002
2024,Enero,El Salvador,Tubos Sin Costura,0.011155799999999999
2024,Enero,El Salvador,Laminados,11.742153900000002
2024,Enero,Guatemala,Largos,10.664226
2024,Enero,Guatemala,Planos,5.143512
2024,Enero,Guatemala,Tubos Sin Costura,0.16128
2024,Enero,Guatemala,Laminados,15.969018
2024,Enero,Honduras,Largos,7.622489720000001
2024,Enero,Honduras,Planos,5.08147722
2024,Enero,Honduras,Tubos Sin Costura,0.01342
2024,Enero,Honduras,Laminados,12.71738694
2024,Enero,México,Largos,82.78392678302
2024,Enero,México,Planos,116.0024422941
2024,Enero,México,Tubos Sin Costura,60.97108971945
2024,Enero,México,Laminados,259.75745879657
2024,Enero,Panamá,Largos,0.277971
2024,Enero,Panamá,Planos,0.231649
2024,Enero,Panamá,Tubos Sin Costura,0.000187
2024,Enero,Panamá,Laminados,0.509807
2024,Enero,Paraguay,Largos,0.077682
2024,Enero,Paraguay,Planos,0.0
2024,Enero,Paraguay,Tubos Sin Costura,0.0007
2024,Enero,Paraguay,Laminados,0.07838200000000001
2024,Enero,Perú,Largos,20.626526399999978
2024,Enero,Perú,Planos,0.30863981
2024,Enero,Perú,Tubos Sin Costura,0.15878710000000001
2024,Enero,Perú,Laminados,21.09395330999998
2024,Enero,Uruguay,Largos,0.0
2024,Enero,Uruguay,Planos,0.0
2024,Enero,Uruguay,Tubos Sin Costura,0.0
2024,Enero,Uruguay,Laminados,0.0
2024,Enero,Venezuela,Largos,0.0
2024,Enero,Venezuela,Planos,0.0
2024,Enero,Venezuela,Tubos Sin Costura,0.0
2024,Enero,Venezuela,Laminados,0.0
2024,Febrero,Argentina,Largos,10.814
2024,Febrero,Argentina,Planos,5.332
2024,Febrero,Argentina,Tubos Sin Costura,13.637
2024,Febrero,Argentina,Laminados,29.783
2024,Febrero,Bolivia,Largos,0.0
2024,Febrero,Bolivia,Planos,0.0
2024,Febrero,Bolivia,Tubos Sin Costura,0.00016
2024,Febrero,Bolivia,Laminados,0.00016
2024,Febrero,Brasil,Largos,51.639
2024,Febrero,Brasil,Planos,121.212
2024,Febrero,Brasil,Tubos Sin Costura,0.0
2024,Febrero,Brasil,Laminados,172.851
2024,Febrero,Chile,Largos,26.652198100000003
2024,Febrero,Chile,Planos,4.47441059
2024,Febrero,Chile,Tubos Sin Costura,0.32295683999999997
2024,Febrero,Chile,Laminados,31.449565530000005
2024,Febrero,Colombia,Largos,0.21091013
2024,Febrero,Colombia,Planos,2.40557024
2024,Febrero,Colombia,Tubos Sin Costura,6.06485071
2024,Febrero,Colombia,Laminados,8.68133108
2024,Febrero,Costa Rica,Largos,5.47495052
2024,Febrero,Costa Rica,Planos,4.973632809999999
2024,Febrero,Costa Rica,Tubos Sin Costura,0.00329458
2024,Febrero,Costa Rica,Laminados,10.451877909999999
2024,Febrero,Ecuador,Largos,0.3121597999999999
2024,Febrero,Ecuador,Planos,0.5982514
2024,Febrero,Ecuador,Tubos Sin Costura,0.08944210000000001
2024,Febrero,Ecuador,Laminados,0.9998532999999998
2024,Febrero,El Salvador,Largos,5.2537769999999995
2024,Febrero,El Salvador,Planos,5.80044907
2024,Febrero,El Salvador,Tubos Sin Costura,0.009448
2024,Febrero,El Salvador,Laminados,11.06367407
2024,Febrero,Guatemala,Largos,14.506359
2024,Febrero,Guatemala,Planos,5.682189
2024,Febrero,Guatemala,Tubos Sin Costura,0.244641
2024,Febrero,Guatemala,Laminados,20.433189000000002
2024,Febrero,Honduras,Largos,4.30971764
2024,Febrero,Honduras,Planos,2.38219936
2024,Febrero,Honduras,Tubos Sin Costura,0.010724
2024,Febrero,Honduras,Laminados,6.702641
2024,Febrero,México,Largos,84.22503872214
2024,Febrero,México,Planos,128.82617252845
2024,Febrero,México,Tubos Sin Costura,73.71715648154
2024,Febrero,México,Laminados,286.76836773213
2024,Febrero,Panamá,Largos,0.251214
2024,Febrero,Panamá,Planos,0.292375
2024,Febrero,Panamá,Tubos Sin Costura,0.0
2024,Febrero,Panamá,Laminados,0.543589
2024,Febrero,Paraguay,Largos,0.146828
2024,Febrero,Paraguay,Planos,0.012716
2024,Febrero,Paraguay,Tubos Sin Costura,0.0
2024,Febrero,Paraguay,Laminados,0.159544
2024,Febrero,Perú,Largos,10.201306439999998
2024,Febrero,Perú,Planos,0.42106513
2024,Febrero,Perú,Tubos Sin Costura,0.16822139999999994
2024,Febrero,Perú,Laminados,10.790592969999999
2024,Febrero,Uruguay,Largos,0.0008
2024,Febrero,Uruguay,Planos,0.0
2024,Febrero,Uruguay,Tubos Sin Costura,0.0
2024,Febrero,Uruguay,Laminados,0.0008
2024,Febrero,Venezuela,Largos,0.0
2024,Febrero,Venezuela,Planos,0.0
2024,Febrero,Venezuela,Tubos Sin Costura,0.0
2024,Febrero,Venezuela,Laminados,0.0
2024,Marzo,Argentina,Largos,10.612
2024,Marzo,Argentina,Planos,4.331
2024,Marzo,Argentina,Tubos Sin Costura,28.845
2024,Marzo,Argentina,Laminados,43.788
2024,Marzo,Bolivia,Largos,0.0
2024,Marzo,Bolivia,Planos,0.05093
2024,Marzo,Bolivia,Tubos Sin Costura,0.0
2024,Marzo,Bolivia,Laminados,0.05093
2024,Marzo,Brasil,Largos,149.4
2024,Marzo,Brasil,Planos,72.341
2024,Marzo,Brasil,Tubos Sin Costura,0.0
2024,Marzo,Brasil,Laminados,221.74099999999999
2024,Marzo,Chile,Largos,5.821735939999999
2024,Marzo,Chile,Planos,3.8539319499999998
2024,Marzo,Chile,Tubos Sin Costura,0.10445751
2024,Marzo,Chile,Laminados,9.7801254
2024,Marzo,Colombia,Largos,0.25754091
2024,Marzo,Colombia,Planos,6.34334183
2024,Marzo,Colombia,Tubos Sin Costura,3.08907595
2024,Marzo,Colombia,Laminados,9.689958690000001
2024,Marzo,Costa Rica,Largos,14.902638629999997
2024,Marzo,Costa Rica,Planos,3.5254042599999993
2024,Marzo,Costa Rica,Tubos Sin Costura,0.00804201
2024,Marzo,Costa Rica,Laminados,18.436084899999997
2024,Marzo,Ecuador,Largos,0.5897768999999999
2024,Marzo,Ecuador,Planos,0.3528409
2024,Marzo,Ecuador,Tubos Sin Costura,0.0584586
2024,Marzo,Ecuador,Laminados,1.0010763999999999
2024,Marzo,El Salvador,Largos,5.55959444
2024,Marzo,El Salvador,Planos,5.539711240000001
2024,Marzo,El Salvador,Tubos Sin Costura,0.0013088899999999998
2024,Marzo,El Salvador,Laminados,11.100614570000001
2024,Marzo,Guatemala,Largos,18.115284
2024,Marzo,Guatemala,Planos,5.232306
2024,Marzo,Guatemala,Tubos Sin Costura,0.149566
2024,Marzo,Guatemala,Laminados,23.497156
2024,Marzo,Honduras,Largos,4.106826709999999
2024,Marzo,Honduras,Planos,2.00274856
2024,Marzo,Honduras,Tubos Sin Costura,0.0
2024,Marzo,Honduras,Laminados,6.109575269999999
2024,Marzo,México,Largos,84.32458498335
2024,Marzo,México,Planos,128.54546365022
2024,Marzo,México,Tubos Sin Costura,62.12653075674
2024,Marzo,México,Laminados,274.99657939031
2024,Marzo,Panamá,Largos,0.154685
2024,Marzo,Panamá,Planos,0.062315
2024,Marzo,Panamá,Tubos Sin Costura,0.000508
2024,Marzo,Panamá,Laminados,0.217508
2024,Marzo,Paraguay,Largos,1.09626
2024,Marzo,Paraguay,Planos,3.9e-07
2024,Marzo,Paraguay,Tubos Sin Costura,0.0
2024,Marzo,Paraguay,Laminados,1.09626039
2024,Marzo,Perú,Largos,18.349476360000004
2024,Marzo,Perú,Planos,0.46030941999999997
2024,Marzo,Perú,Tubos Sin Costura,0.14611568
2024,Marzo,Perú,Laminados,18.955901460000007
2024,Marzo,Uruguay,Largos,0.0
2024,Marzo,Uruguay,Planos,0.04392
2024,Marzo,Uruguay,Tubos Sin Costura,0.0
2024,Marzo,Uruguay,Laminados,0.04392
2024,Marzo,Venezuela,Largos,0.0
2024,Marzo,Venezuela,Planos,0.0
2024,Marzo,Venezuela,Tubos Sin Costura,0.0
2024,Marzo,Venezuela,Laminados,0.0
2024,Abril,Argentina,Largos,23.054
2024,Abril,Argentina,Planos,33.512
2024,Abril,Argentina,Tubos Sin Costura,20.324
2024,Abril,Argentina,Laminados,76.89
2024,Abril,Bolivia,Largos,0.000196
2024,Abril,Bolivia,Planos,0.00246899
2024,Abril,Bolivia,Tubos Sin Costura,0.05412
2024,Abril,Bolivia,Laminados,0.05678499
2024,Abril,Brasil,Largos,64.404
2024,Abril,Brasil,Planos,86.792
2024,Abril,Brasil,Tubos Sin Costura,0.0
2024,Abril,Brasil,Laminados,151.196
2024,Abril,Chile,Largos,24.148530890000014
2024,Abril,Chile,Planos,3.915434
2024,Abril,Chile,Tubos Sin Costura,0.08577506
2024,Abril,Chile,Laminados,28.149739950000015
2024,Abril,Colombia,Largos,0.36767974
2024,Abril,Colombia,Planos,0.78385198
2024,Abril,Colombia,Tubos Sin Costura,0.81138461
2024,Abril,Colombia,Laminados,1.9629163299999999
2024,Abril,Costa Rica,Largos,10.835994470000001
2024,Abril,Costa Rica,Planos,4.824518700000002
2024,Abril,Costa Rica,Tubos Sin Costura,0.017731900000000002
2024,Abril,Costa Rica,Laminados,15.678245070000003
2024,Abril,Ecuador,Largos,0.5451484000000001
2024,Abril,Ecuador,Planos,0.24269509999999997
2024,Abril,Ecuador,Tubos Sin Costura,0.0006467000000000003
2024,Abril,Ecuador,Laminados,0.7884902
2024,Abril,El Salvador,Largos,6.670629770000001
2024,Abril,El Salvador,Planos,6.055346469999998
2024,Abril,El Salvador,Tubos Sin Costura,0.01058315
2024,Abril,El Salvador,Laminados,12.736559389999998
2024,Abril,Guatemala,Largos,15.625218
2024,Abril,Guatemala,Planos,5.220759
2024,Abril,Guatemala,Tubos Sin Costura,0.097306
2024,Abril,Guatemala,Laminados,20.943283
2024,Abril,Honduras,Largos,7.40423736
2024,Abril,Honduras,Planos,3.2728338900000002
2024,Abril,Honduras,Tubos Sin Costura,0.03045909
2024,Abril,Honduras,Laminados,10.707530340000002
2024,Abril,México,Largos,83.26503040059
2024,Abril,México,Planos,131.96341206236
2024,Abril,México,Tubos Sin Costura,53.51837968448
2024,Abril,México,Laminados,268.74682214743
2024,Abril,Panamá,Largos,0.055225
2024,Abril,Panamá,Planos,0.175756
2024,Abril,Panamá,Tubos Sin Costura,0.012601
2024,Abril,Panamá,Laminados,0.243582
2024,Abril,Paraguay,Largos,0.2801
2024,Abril,Paraguay,Planos,0.007948
2024,Abril,Paraguay,Tubos Sin Costura,0.0
2024,Abril,Paraguay,Laminados,0.288048
2024,Abril,Perú,Largos,13.87491414
2024,Abril,Perú,Planos,0.3430536799999999
2024,Abril,Perú,Tubos Sin Costura,0.10562335999999999
2024,Abril,Perú,Laminados,14.32359118
2024,Abril,Uruguay,Largos,0.0029
2024,Abril,Uruguay,Planos,0.04498
2024,Abril,Uruguay,Tubos Sin Costura,0.007884
2024,Abril,Uruguay,Laminados,0.055764
2024,Abril,Venezuela,Largos,0.0
2024,Abril,Venezuela,Planos,0.0
2024,Abril,Venezuela,Tubos Sin Costura,0.158948
2024,Abril,Venezuela,Laminados,0.158948
2024,Mayo,Argentina,Largos,29.496
2024,Mayo,Argentina,Planos,4.978
2024,Mayo,Argentina,Tubos Sin Costura,26.186
