,Producto,Toneladas,Mes,Año,Categoría
1,Mineral de Hierro,703658.985377,Ene,2012,Materias Primas
2,Carbón Mineral,1238607.498147,Ene,2012,Materias Primas
3,Coque,208494.98103999998,Ene,2012,Materias Primas
4,Chatarra,527056.755448,Ene,2012,Materias Primas
5,Material Relaminable,1585.9638,Ene,2012,Materias Primas
7,Horno Eléctrico,0.0,Ene,2012,Acero
8,Convertidor al Oxígeno,0.0,Ene,2012,Acero
10,HIERRO DE PRIMERA FUSIÓN,758394.6353233544,Ene,2012,Básicos
11,Arrabio,378650.2033305076,Ene,2012,Básicos
12,Fierro Esponja,379744.4319928468,Ene,2012,Básicos
13,Ferroaleaciones,23600.269344333334,Ene,2012,Básicos
14,Granallas y Polvos,3621.121123,Ene,2012,Básicos
16,Planchón,246078.13407292144,Ene,2012,Semiterminados
17,"Lingotes, Palanquillas, etc.",-5982.079997000001,Ene,2012,Semiterminados
20,Placa,211615.28012427667,Ene,2012,Planos
21,en Rollo,123386.93270027668,Ene,2012,Planos
22,en Hoja,88228.34742399999,Ene,2012,Planos
23,Lámina en Caliente,252826.31311810846,Ene,2012,Planos
24,Lámina en Frío,275967.3108864005,Ene,2012,Planos
25,Lámina con Recubrimiento,200827.92965391368,Ene,2012,Planos
26,Lámina Galvanizada,183762.02811891367,Ene,2012,Planos
27,Lámina Estañada (Hojalata),12227.904935999999,Ene,2012,Planos
28,Lámina Cromada,10537.17748,Ene,2012,Planos
29,Planos con Otros Recubiertos y Trabajos,-5699.180881000001,Ene,2012,Planos
30,Planos de Acero al Silicio,17068.107611000003,Ene,2012,Planos
31,Planos de Acero Aleado,71706.360771,Ene,2012,Planos
32,Planos de Acero Inoxidable,40838.92654254046,Ene,2012,Planos
33,"Cintas, Tiras y Flejes",580.9846199999997,Ene,2012,Planos
35,Alambrón,211396.30927899198,Ene,2012,Largos
36,Alambre y derivados,171911.03482698355,Ene,2012,Largos
37,Alambre,174085.34337198356,Ene,2012,Largos
38,Derivados de alambre,-2174.308545,Ene,2012,Largos
39,Varilla Corrugada,284966.4206736357,Ene,2012,Largos
40,Perfiles Estructurales (Caliente y Frío),80672.30327522961,Ene,2012,Largos
41,Caliente,83703.2478862296,Ene,2012,Largos
42,Frío,-3030.944611,Ene,2012,Largos
43,Perfiles Comerciales formados en Caliente,22285.253272174778,Ene,2012,Largos
44,Barras,143692.6593176188,Ene,2012,Largos
45,Perfiles Inoxidables y Aleados,1826.937898,Ene,2012,Largos
46,Rieles,8172.3337200000005,Ene,2012,Largos
47,TUBOS CON Y SIN COSTURA,139305.0061353196,Ene,2012,Terminados
48,Tubos sin Costura,53415.80807223998,Ene,2012,Terminados
49,Tubos con Costura,85889.19806307962,Ene,2012,Terminados
50,Tubos c/Costura ≤ 406.4 mm,32728.62095553981,Ene,2012,Terminados
51,Tubos c/Costura > 406.4 mm,53160.57710753981,Ene,2012,Terminados
53,Mineral de Hierro,465396.50024100003,Feb,2012,Materias Primas
54,Carbón Mineral,1922942.1923629998,Feb,2012,Materias Primas
55,Coque,185862.1734,Feb,2012,Materias Primas
56,Chatarra,578663.56666,Feb,2012,Materias Primas
57,Material Relaminable,1696.615118,Feb,2012,Materias Primas
59,Horno Eléctrico,0.0,Feb,2012,Acero
60,Convertidor al Oxígeno,0.0,Feb,2012,Acero
62,HIERRO DE PRIMERA FUSIÓN,722667.2493735552,Feb,2012,Básicos
63,Arrabio,413296.0159656081,Feb,2012,Básicos
64,Fierro Esponja,309371.233407947,Feb,2012,Básicos
65,Ferroaleaciones,20688.68029533333,Feb,2012,Básicos
66,Granallas y Polvos,3177.3721029999997,Feb,2012,Básicos
68,Planchón,266921.5000922017,Feb,2012,Semiterminados
69,"Lingotes, Palanquillas, etc.",-624.7604420000025,Feb,2012,Semiterminados
72,Placa,247643.94302029576,Feb,2012,Planos
73,en Rollo,167496.07299429577,Feb,2012,Planos
74,en Hoja,80147.87002599999,Feb,2012,Planos
75,Lámina en Caliente,302022.9877416996,Feb,2012,Planos
76,Lámina en Frío,293392.5319405945,Feb,2012,Planos
77,Lámina con Recubrimiento,229896.3102358685,Feb,2012,Planos
78,Lámina Galvanizada,212009.14936586848,Feb,2012,Planos
79,Lámina Estañada (Hojalata),21171.638421,Feb,2012,Planos
80,Lámina Cromada,13085.138419,Feb,2012,Planos
81,Planos con Otros Recubiertos y Trabajos,-16369.615969999999,Feb,2012,Planos
82,Planos de Acero al Silicio,18682.595472,Feb,2012,Planos
83,Planos de Acero Aleado,93181.799286,Feb,2012,Planos
84,Planos de Acero Inoxidable,42839.727600386075,Feb,2012,Planos
85,"Cintas, Tiras y Flejes",615.9925420000002,Feb,2012,Planos
87,Alambrón,155039.53980703672,Feb,2012,Largos
88,Alambre y derivados,146475.3813196998,Feb,2012,Largos
89,Alambre,149058.52137269982,Feb,2012,Largos
90,Derivados de alambre,-2583.140053000001,Feb,2012,Largos
91,Varilla Corrugada,262093.71166535516,Feb,2012,Largos
92,Perfiles Estructurales (Caliente y Frío),68264.69098700111,Feb,2012,Largos
93,Caliente,72668.55206100112,Feb,2012,Largos
94,Frío,-4403.8610739999995,Feb,2012,Largos
95,Perfiles Comerciales formados en Caliente,24477.446122192705,Feb,2012,Largos
96,Barras,117447.83960203205,Feb,2012,Largos
97,Perfiles Inoxidables y Aleados,2202.132017,Feb,2012,Largos
98,Rieles,1233.0710000000001,Feb,2012,Largos
99,TUBOS CON Y SIN COSTURA,90049.44891187301,Feb,2012,Terminados
100,Tubos sin Costura,20028.72194885247,Feb,2012,Terminados
101,Tubos con Costura,70020.72696302054,Feb,2012,Terminados
102,Tubos c/Costura ≤ 406.4 mm,27495.033624010277,Feb,2012,Terminados
103,Tubos c/Costura > 406.4 mm,42525.69333901027,Feb,2012,Terminados
105,Mineral de Hierro,563902.750901,Mar,2012,Materias Primas
106,Carbón Mineral,1916257.926208,Mar,2012,Materias Primas
107,Coque,256325.131173,Mar,2012,Materias Primas
108,Chatarra,623630.20222,Mar,2012,Materias Primas
109,Material Relaminable,2463.127379,Mar,2012,Materias Primas
111,Horno Eléctrico,0.0,Mar,2012,Acero
112,Convertidor al Oxígeno,0.0,Mar,2012,Acero
114,HIERRO DE PRIMERA FUSIÓN,983155.1076712806,Mar,2012,Básicos
115,Arrabio,456867.0024979609,Mar,2012,Básicos
116,Fierro Esponja,526288.1051733197,Mar,2012,Básicos
117,Ferroaleaciones,21216.068594333334,Mar,2012,Básicos
118,Granallas y Polvos,3922.151905,Mar,2012,Básicos
120,Planchón,249652.60507299367,Mar,2012,Semiterminados
121,"Lingotes, Palanquillas, etc.",1096.364913999998,Mar,2012,Semiterminados
124,Placa,262951.93679016456,Mar,2012,Planos
125,en Rollo,159199.38446216457,Mar,2012,Planos
126,en Hoja,103752.55232799999,Mar,2012,Planos
127,Lámina en Caliente,277062.05297973513,Mar,2012,Planos
128,Lámina en Frío,305892.89688463596,Mar,2012,Planos
129,Lámina con Recubrimiento,259519.03069881143,Mar,2012,Planos
130,Lámina Galvanizada,229877.91127481146,Mar,2012,Planos
131,Lámina Estañada (Hojalata),15790.583345000003,Mar,2012,Planos
132,Lámina Cromada,15030.494602,Mar,2012,Planos
133,Planos con Otros Recubiertos y Trabajos,-1179.9585230000002,Mar,2012,Planos
134,Planos de Acero al Silicio,15262.523583999999,Mar,2012,Planos
135,Planos de Acero Aleado,90669.96583799999,Mar,2012,Planos
136,Planos de Acero Inoxidable,44076.30411870459,Mar,2012,Planos
137,"Cintas, Tiras y Flejes",658.6344969999998,Mar,2012,Planos
139,Alambrón,174304.30043700326,Mar,2012,Largos
140,Alambre y derivados,172412.65348297273,Mar,2012,Largos
141,Alambre,176754.6898369727,Mar,2012,Largos
142,Derivados de alambre,-4342.036354,Mar,2012,Largos
143,Varilla Corrugada,230539.28343634366,Mar,2012,Largos
144,Perfiles Estructurales (Caliente y Frío),62673.40098224355,Mar,2012,Largos
145,Caliente,64911.50000524355,Mar,2012,Largos
146,Frío,-2238.0990229999998,Mar,2012,Largos
147,Perfiles Comerciales formados en Caliente,26505.828149253884,Mar,2012,Largos
148,Barras,104268.58701999138,Mar,2012,Largos
149,Perfiles Inoxidables y Aleados,2121.1319240000003,Mar,2012,Largos
150,Rieles,2135.913,Mar,2012,Largos
151,TUBOS CON Y SIN COSTURA,91075.37194773955,Mar,2012,Terminados
152,Tubos sin Costura,29146.743835648864,Mar,2012,Terminados
153,Tubos con Costura,61928.628112090686,Mar,2012,Terminados
154,Tubos c/Costura ≤ 406.4 mm,24261.44871811533,Mar,2012,Terminados
155,Tubos c/Costura > 406.4 mm,37667.179393975355,Mar,2012,Terminados
157,Mineral de Hierro,761169.030593,Abr,2012,Materias Primas
158,Carbón Mineral,1547693.584851,Abr,2012,Materias Primas
159,Coque,196718.511214,Abr,2012,Materias Primas
160,Chatarra,564333.2166739999,Abr,2012,Materias Primas
161,Material Relaminable,2778.45388,Abr,2012,Materias Primas
163,Horno Eléctrico,0.0,Abr,2012,Acero
164,Convertidor al Oxígeno,0.0,Abr,2012,Acero
166,HIERRO DE PRIMERA FUSIÓN,967784.2780382221,Abr,2012,Básicos
167,Arrabio,445089.5854001327,Abr,2012,Básicos
168,Fierro Esponja,522694.6926380894,Abr,2012,Básicos
169,Ferroaleaciones,21791.43488533333,Abr,2012,Básicos
170,Granallas y Polvos,3415.2101879999996,Abr,2012,Básicos
172,Planchón,222939.123308895,Abr,2012,Semiterminados
173,"Lingotes, Palanquillas, etc.",5880.516526999996,Abr,2012,Semiterminados
176,Placa,253180.0100934063,Abr,2012,Planos
177,en Rollo,161847.0663854063,Abr,2012,Planos
178,en Hoja,91332.94370800002,Abr,2012,Planos
179,Lámina en Caliente,291858.2638977145,Abr,2012,Planos
180,Lámina en Frío,292204.1634454232,Abr,2012,Planos
181,Lámina con Recubrimiento,152818.47455105273,Abr,2012,Planos
182,Lámina Galvanizada,123048.16539805273,Abr,2012,Planos
183,Lámina Estañada (Hojalata),25369.542740999997,Abr,2012,Planos
184,Lámina Cromada,11231.292402000001,Abr,2012,Planos
185,Planos con Otros Recubiertos y Trabajos,-6830.525989999999,Abr,2012,Planos
186,Planos de Acero al Silicio,16667.330821,Abr,2012,Planos
187,Planos de Acero Aleado,83021.31549899999,Abr,2012,Planos
188,Planos de Acero Inoxidable,39889.52994931627,Abr,2012,Planos
189,"Cintas, Tiras y Flejes",732.2805380000001,Abr,2012,Planos
191,Alambrón,196546.52195290264,Abr,2012,Largos
192,Alambre y derivados,169208.5392498512,Abr,2012,Largos
193,Alambre,172214.0923698512,Abr,2012,Largos
194,Derivados de alambre,-3005.5531199999978,Abr,2012,Largos
195,Varilla Corrugada,231182.61899645306,Abr,2012,Largos
196,Perfiles Estructurales (Caliente y Frío),57383.990341590135,Abr,2012,Largos
197,Caliente,59966.05368059014,Abr,2012,Largos
198,Frío,-2582.0633390000003,Abr,2012,Largos
199,Perfiles Comerciales formados en Caliente,31165.947962468563,Abr,2012,Largos
200,Barras,127875.29343433915,Abr,2012,Largos
201,Perfiles Inoxidables y Aleados,744.3698999999999,Abr,2012,Largos
202,Rieles,16884.486,Abr,2012,Largos
203,TUBOS CON Y SIN COSTURA,105644.39981525738,Abr,2012,Terminados
204,Tubos sin Costura,48591.8338361365,Abr,2012,Terminados
205,Tubos con Costura,57052.565979120875,Abr,2012,Terminados
206,Tubos c/Costura ≤ 406.4 mm,24930.31385756044,Abr,2012,Terminados
207,Tubos c/Costura > 406.4 mm,32122.25212156044,Abr,2012,Terminados
209,Mineral de Hierro,726302.733162,May,2012,Materias Primas
210,Carbón Mineral,2105668.2361640004,May,2012,Materias Primas
211,Coque,205871.361612,May,2012,Materias Primas
212,Chatarra,585253.6953329999,May,2012,Materias Primas
213,Material Relaminable,2271.219717,May,2012,Materias Primas
215,Horno Eléctrico,0.0,May,2012,Acero
216,Convertidor al Oxígeno,0.0,May,2012,Acero
218,HIERRO DE PRIMERA FUSIÓN,822037.3619007417,May,2012,Básicos
219,Arrabio,342971.7697403591,May,2012,Básicos
220,Fierro Esponja,479065.59216038254,May,2012,Básicos
221,Ferroaleaciones,21907.022310333334,May,2012,Básicos
222,Granallas y Polvos,4525.560144,May,2012,Básicos
224,Planchón,242832.2314995348,May,2012,Semiterminados
225,"Lingotes, Palanquillas, etc.",-19324.945740000003,May,2012,Semiterminados
228,Placa,245384.76018810083,May,2012,Planos
229,en Rollo,152463.73963210086,May,2012,Planos
230,en Hoja,92921.02055599997,May,2012,Planos
231,Lámina en Caliente,292422.5849687151,May,2012,Planos
232,Lámina en Frío,316535.71197730687,May,2012,Planos
233,Lámina con Recubrimiento,276903.9599673435,May,2012,Planos
234,Lámina Galvanizada,235861.53823534353,May,2012,Planos
235,Lámina Estañada (Hojalata),30501.970667,May,2012,Planos
236,Lámina Cromada,14432.120617,May,2012,Planos
237,Planos con Otros Recubiertos y Trabajos,-3891.6695519999994,May,2012,Planos
238,Planos de Acero al Silicio,16455.158635,May,2012,Planos
239,Planos de Acero Aleado,106830.96301699999,May,2012,Planos
240,Planos de Acero Inoxidable,46402.43784094564,May,2012,Planos
241,"Cintas, Tiras y Flejes",-540.673918,May,2012,Planos
243,Alambrón,162449.6232077668,May,2012,Largos
244,Alambre y derivados,171266.29144729115,May,2012,Largos
245,Alambre,175401.46208829113,May,2012,Largos
246,Derivados de alambre,-4135.170641000001,May,2012,Largos
247,Varilla Corrugada,256490.49143560953,May,2012,Largos
248,Perfiles Estructurales (Caliente y Frío),64894.84064914491,May,2012,Largos
249,Caliente,67928.92526614491,May,2012,Largos
250,Frío,-3034.0846169999995,May,2012,Largos
