Año,Mes,País,Producto,Consumo
2024,Enero,Argentina,Largos,114.844
2024,Enero,Argentina,Planos,158.637
2024,Enero,Argentina,Tubos Sin Costura,29.206999999999994
2024,Enero,Argentina,Laminados,302.688
2024,Enero,Bolivia,Largos,19.502079600000002
2024,Enero,Bolivia,Planos,26.39824065
2024,Enero,Bolivia,Tubos Sin Costura,0.773488
2024,Enero,Bolivia,Laminados,46.67380825000001
2024,Enero,Brasil,Largos,771.875
2024,Enero,Brasil,Planos,1164.523
2024,Enero,Brasil,Tubos Sin Costura,0.0
2024,Enero,Brasil,Laminados,1936.398
2024,Enero,Chile,Largos,97.00459884999918
2024,Enero,Chile,Planos,95.39245463999998
2024,Enero,Chile,Tubos Sin Costura,1.6200077100000005
2024,Enero,Chile,Laminados,194.01706119999918
2024,Enero,Colombia,Largos,139.11421263
2024,Enero,Colombia,Planos,92.63293538
2024,Enero,Colombia,Tubos Sin Costura,13.46260775
2024,Enero,Colombia,Laminados,245.20975575999998
2024,Enero,Costa Rica,Largos,31.496701866276595
2024,Enero,Costa Rica,Planos,33.51553867999997
2024,Enero,Costa Rica,Tubos Sin Costura,0.44383159000000044
2024,Enero,Costa Rica,Laminados,65.45607213627656
2024,Enero,Ecuador,Largos,80.45450035710812
2024,Enero,Ecuador,Planos,65.41949519999996
2024,Enero,Ecuador,Tubos Sin Costura,13.759437299999982
2024,Enero,Ecuador,Laminados,159.63343285710803
2024,Enero,El Salvador,Largos,24.15191781436454
2024,Enero,El Salvador,Planos,18.255924699999994
2024,Enero,El Salvador,Tubos Sin Costura,0.09835110000000001
2024,Enero,El Salvador,Laminados,42.506193614364534
2024,Enero,Guatemala,Largos,83.56142900655202
2024,Enero,Guatemala,Planos,58.536622
2024,Enero,Guatemala,Tubos Sin Costura,0.76244
2024,Enero,Guatemala,Laminados,142.86049100655202
2024,Enero,Honduras,Largos,5.10970605
2024,Enero,Honduras,Planos,1.5288280599999995
2024,Enero,Honduras,Tubos Sin Costura,0.1564802
2024,Enero,Honduras,Laminados,6.795014309999999
2024,Enero,México,Largos,836.4873217204
2024,Enero,México,Planos,1585.42878543506
2024,Enero,México,Tubos Sin Costura,28.168598754250006
2024,Enero,México,Laminados,2450.08470590971
2024,Enero,Panamá,Largos,8.946696999999999
2024,Enero,Panamá,Planos,3.150453
2024,Enero,Panamá,Tubos Sin Costura,0.08550899999999999
2024,Enero,Panamá,Laminados,12.182659
2024,Enero,Paraguay,Largos,10.884180179578308
2024,Enero,Paraguay,Planos,32.9148187
2024,Enero,Paraguay,Tubos Sin Costura,0.1977917
2024,Enero,Paraguay,Laminados,43.99679057957831
2024,Enero,Perú,Largos,171.3947533996506
2024,Enero,Perú,Planos,99.52127915834852
2024,Enero,Perú,Tubos Sin Costura,1.81407083
2024,Enero,Perú,Laminados,272.7301033879991
2024,Enero,República Dominicana,Largos,44.554681010288014
2024,Enero,República Dominicana,Planos,5.631265386944421
2024,Enero,República Dominicana,Tubos Sin Costura,0.0
2024,Enero,República Dominicana,Laminados,50.185946397232435
2024,Enero,Uruguay,Largos,8.613473717176625
2024,Enero,Uruguay,Planos,5.948448
2024,Enero,Uruguay,Tubos Sin Costura,0.21499
2024,Enero,Uruguay,Laminados,14.776911717176624
2024,Enero,Venezuela,Largos,9.311228748127869
2024,Enero,Venezuela,Planos,7.72568
