,Alabama - Busheling No1,Alabama - Shredded Auto,Chicago - Busheling No1,Chicago - Shredded Auto,China - Iron Ore,Monterrey - Busheling No1,Año,Mes
222,423.5,430.0,440.0,438.0,,,2014,1
223,405.0,395.0,408.0,408.0,,,2014,2
224,390.0,382.0,388.0,388.0,,,2014,3
225,405.0,395.0,399.0,398.0,,,2014,4
226,405.5,385.0,397.0,383.0,,,2014,5
227,406.0,375.0,392.5,365.0,,,2014,6
228,406.5,376.5,388.0,375.0,,,2014,7
229,407.0,378.0,383.5,365.0,,,2014,9
230,392.0,362.0,379.0,355.0,,,2014,10
231,360.0,332.0,349.0,325.0,,,2014,11
232,326.6666666666667,303.6666666666667,351.0,329.5,,,2014,12
233,293.3333333333333,275.3333333333333,355.0,334.0,,,2015,1
234,260.0,247.0,255.0,245.0,,,2015,2
235,260.0,247.0,247.5,240.0,,,2015,3
236,265.0,257.0,240.0,235.0,,,2015,4
237,270.0,267.0,240.0,245.0,,,2015,5
238,300.0,297.0,270.0,275.0,,,2015,6
239,280.0,270.0,270.0,265.0,,,2015,7
240,252.0,240.0,250.0,230.0,,,2015,8
241,242.0,230.0,240.0,230.0,,,2015,9
242,190.0,180.0,190.0,180.0,,,2015,10
243,173.0,170.0,160.0,160.0,,,2015,11
244,173.0,170.0,160.0,160.0,,,2015,12
245,193.0,190.0,180.0,190.0,,,2016,1
246,196.0,193.0,180.0,190.0,,,2016,2
247,209.0,208.0,195.0,210.0,,,2016,3
248,255.0,260.0,245.0,260.0,,,2016,4
249,292.0,290.0,275.0,280.0,,,2016,5
250,292.0,260.0,275.0,250.0,,250.0,2016,6
251,287.0,240.0,275.0,240.0,,247.5,2016,7
252,263.0,240.0,265.0,240.0,,270.0,2016,8
253,231.0,220.0,235.0,218.0,,235.0,2016,9
254,201.0,190.0,205.0,198.0,,202.5,2016,10
255,225.0,220.0,235.0,228.0,,195.5,2016,11
256,270.0,265.0,275.0,270.0,,227.5,2016,12
257,310.0,300.0,315.0,305.0,,272.5,2017,1
258,310.0,295.0,305.0,283.0,,283.75,2017,2
259,360.0,325.0,370.0,323.0,,292.0,2017,3
260,347.0,300.0,350.0,293.0,,301.875,2017,4
261,345.0,300.0,350.0,293.0,,267.5,2017,5
262,335.0,290.0,350.0,283.0,,255.625,2017,6
263,345.0,290.0,350.0,283.0,,258.75,2017,7
264,380.0,310.0,365.0,293.0,,256.0,2017,8
265,390.0,310.0,365.0,293.0,,260.0,2017,9
266,350.0,280.0,325.0,263.0,,260.0,2017,10
267,340.0,280.0,325.0,263.0,,249.0,2017,11
268,360.0,310.0,345.0,293.0,,260.0,2017,12
269,380.0,340.0,365.0,325.0,,289.5,2018,1
270,380.0,340.0,365.0,325.0,,311.875,2018,2
271,392.0,370.0,375.0,360.0,,318.125,2018,3
272,412.0,385.0,385.0,380.0,,328.125,2018,4
273,412.0,365.0,385.0,370.0,,327.0,2018,5
274,412.0,365.0,395.0,370.0,,328.125,2018,6
275,412.0,365.0,400.0,370.0,,342.0,2018,7
276,402.0,344.0,395.0,350.0,71.30600000000001,331.875,2018,8
277,382.0,324.0,375.0,325.0,74.237,320.0,2018,9
278,392.0,344.0,395.0,335.0,77.33173913043478,302.5,2018,10
279,402.0,364.0,405.0,355.0,75.96523809523809,300.625,2018,11
280,392.0,364.0,405.0,355.0,71.997,310.0,2018,12
281,352.0,324.0,375.0,325.0,76.95818181818181,309.0,2019,1
282,342.0,324.0,355.0,325.0,88.32111111111111,306.25,2019,2
283,362.0,344.0,375.0,345.0,88.23190476190476,301.25,2019,3
284,342.0,324.0,350.0,322.0,96.06142857142856,305.0,2019,4
285,312.0,294.0,315.0,292.0,103.12333333333333,276.875,2019,5
286,292.0,274.0,285.0,262.0,112.50473684210527,257.5,2019,6
287,292.0,274.0,280.0,262.0,121.30869565217391,235.0,2019,7
288,312.0,294.0,300.0,282.0,90.28399999999999,243.75,2019,8
289,272.0,254.0,260.0,252.0,91.26809523809523,253.75,2019,9
290,232.0,224.0,220.0,217.0,88.59136363636364,223.8,2019,10
291,252.0,244.0,240.0,237.0,84.4452380952381,224.375,2019,11
292,292.0,284.0,270.0,267.0,91.72095238095237,241.5,2019,12
