,Fecha,Alabama - Busheling No1,Alabama - Shredded Auto,Chicago - Busheling No1,Chicago - Shredded Auto,China - Iron Ore,Monterrey - Busheling No1
0,2014-01,423.5,430.0,440.0,438.0,,
1,2014-02,405.0,395.0,408.0,408.0,,
2,2014-03,390.0,382.0,388.0,388.0,,
3,2014-04,405.0,395.0,399.0,398.0,,
4,2014-05,405.5,385.0,397.0,383.0,,
5,2014-06,406.0,375.0,392.5,365.0,,
6,2014-07,406.5,376.5,388.0,375.0,,
7,2014-09,407.0,378.0,383.5,365.0,,
8,2014-10,392.0,362.0,379.0,355.0,,
9,2014-11,360.0,332.0,349.0,325.0,,
10,2014-12,326.6666666666667,303.6666666666667,351.0,329.5,,
11,2015-01,293.3333333333333,275.3333333333333,355.0,334.0,,
12,2015-02,260.0,247.0,255.0,245.0,,
13,2015-03,260.0,247.0,247.5,240.0,,
14,2015-04,265.0,257.0,240.0,235.0,,
15,2015-05,270.0,267.0,240.0,245.0,,
16,2015-06,300.0,297.0,270.0,275.0,,
17,2015-07,280.0,270.0,270.0,265.0,,
18,2015-08,252.0,240.0,250.0,230.0,,
19,2015-09,242.0,230.0,240.0,230.0,,
20,2015-10,190.0,180.0,190.0,180.0,,
21,2015-11,173.0,170.0,160.0,160.0,,
22,2015-12,173.0,170.0,160.0,160.0,,
23,2016-01,193.0,190.0,180.0,190.0,,
24,2016-02,196.0,193.0,180.0,190.0,,
25,2016-03,209.0,208.0,195.0,210.0,,
26,2016-04,255.0,260.0,245.0,260.0,,
27,2016-05,292.0,290.0,275.0,280.0,,
28,2016-06,292.0,260.0,275.0,250.0,,250.0
29,2016-07,287.0,240.0,275.0,240.0,,247.5
30,2016-08,263.0,240.0,265.0,240.0,,270.0
31,2016-09,231.0,220.0,235.0,218.0,,235.0
32,2016-10,201.0,190.0,205.0,198.0,,202.5
33,2016-11,225.0,220.0,235.0,228.0,,195.5
34,2016-12,270.0,265.0,275.0,270.0,,227.5
35,2017-01,310.0,300.0,315.0,305.0,,272.5
36,2017-02,310.0,295.0,305.0,283.0,,283.75
37,2017-03,360.0,325.0,370.0,323.0,,292.0
38,2017-04,347.0,300.0,350.0,293.0,,301.875
39,2017-05,345.0,300.0,350.0,293.0,,267.5
40,2017-06,335.0,290.0,350.0,283.0,,255.625
41,2017-07,345.0,290.0,350.0,283.0,,258.75
42,2017-08,380.0,310.0,365.0,293.0,,256.0
43,2017-09,390.0,310.0,365.0,293.0,,260.0
44,2017-10,350.0,280.0,325.0,263.0,,260.0
45,2017-11,340.0,280.0,325.0,263.0,,249.0
46,2017-12,360.0,310.0,345.0,293.0,,260.0
47,2018-01,380.0,340.0,365.0,325.0,,289.5
48,2018-02,380.0,340.0,365.0,325.0,,311.875
49,2018-03,392.0,370.0,375.0,360.0,,318.125
50,2018-04,412.0,385.0,385.0,380.0,,328.125
51,2018-05,412.0,365.0,385.0,370.0,,327.0
52,2018-06,412.0,365.0,395.0,370.0,,328.125
53,2018-07,412.0,365.0,400.0,370.0,,342.0
54,2018-08,402.0,344.0,395.0,350.0,71.30600000000001,331.875
55,2018-09,382.0,324.0,375.0,325.0,74.237,320.0
56,2018-10,392.0,344.0,395.0,335.0,77.33173913043478,302.5
57,2018-11,402.0,364.0,405.0,355.0,75.96523809523809,300.625
58,2018-12,392.0,364.0,405.0,355.0,71.997,310.0
59,2019-01,352.0,324.0,375.0,325.0,76.95818181818181,309.0
60,2019-02,342.0,324.0,355.0,325.0,88.32111111111111,306.25
61,2019-03,362.0,344.0,375.0,345.0,88.23190476190476,301.25
62,2019-04,342.0,324.0,350.0,322.0,96.06142857142856,305.0
63,2019-05,312.0,294.0,315.0,292.0,103.12333333333332,276.875
64,2019-06,292.0,274.0,285.0,262.0,112.50473684210527,257.5
65,2019-07,292.0,274.0,280.0,262.0,121.30869565217392,235.0
66,2019-08,312.0,294.0,300.0,282.0,90.284,243.75
67,2019-09,272.0,254.0,260.0,252.0,91.26809523809524,253.75
68,2019-10,232.0,224.0,220.0,217.0,88.59136363636364,223.8
69,2019-11,252.0,244.0,240.0,237.0,84.4452380952381,224.375
70,2019-12,292.0,284.0,270.0,267.0,91.72095238095235,241.5
71,2020-01,322.0,314.0,300.0,297.0,94.94809523809523,275.75
72,2020-02,292.0,284.0,290.0,277.0,88.267,283.25
73,2020-03,302.0,284.0,300.0,277.0,89.76545454545455,279.25
