Fecha,Low,Mid,High
1994-08,150.0,155.0,160.0
1994-09,150.0,155.0,160.0
1994-10,151.66666666666666,173.33333333333334,195.0
1994-11,155.0,160.0,165.0
1994-12,155.0,160.0,165.0
1995-01,177.5,186.25,195.0
1995-02,191.25,206.875,222.5
1995-03,190.0,210.0,230.0
1995-04,190.0,210.0,230.0
1995-05,190.0,210.0,230.0
1995-06,190.0,210.0,230.0
1995-07,195.0,212.5,230.0
1995-08,200.0,212.5,225.0
1995-09,200.0,215.0,230.0
1995-10,205.0,217.5,230.0
1995-11,200.0,210.0,220.0
1995-12,197.5,204.375,211.25
1996-01,190.0,195.0,200.0
1996-02,190.0,195.0,200.0
1996-03,192.5,197.5,202.5
1996-04,200.0,205.0,210.0
1996-05,178.0,188.5,199.0
1996-06,180.0,187.5,195.0
1996-07,180.0,187.5,195.0
1996-08,180.0,186.07142857142858,192.14285714285714
1996-09,182.5,190.0,197.5
1996-10,185.0,192.5,200.0
1996-11,185.0,192.5,200.0
1996-12,185.0,192.5,200.0
1997-01,185.0,192.5,200.0
1997-02,185.0,192.5,200.0
1997-03,196.25,206.0,215.75
1997-04,200.0,210.5,221.0
1997-05,200.0,210.5,221.0
1997-06,200.0,210.5,221.0
1997-07,210.0,215.5,221.0
1997-08,220.0,225.0,230.0
1997-09,215.0,222.875,230.75
1997-10,212.0,222.0,232.0
1997-11,215.0,222.5,230.0
1997-12,215.0,220.0,225.0
1998-01,215.0,219.5,224.0
1998-02,215.0,219.0,223.0
1998-03,215.0,219.0,223.0
1998-04,205.0,213.7,222.4
1998-05,200.0,210.0,220.0
1998-06,198.75,209.375,220.0
1998-07,185.0,195.0,205.0
1998-08,161.66666666666666,170.83333333333334,180.0
1998-09,160.0,167.5,175.0
1998-10,146.25,154.375,162.5
1998-11,133.75,143.125,152.5
1998-12,130.0,140.0,150.0
1999-01,130.0,140.0,150.0
1999-02,130.0,140.0,150.0
1999-03,130.0,140.0,150.0
1999-04,132.5,143.75,155.0
1999-05,136.25,148.75,161.25
1999-06,144.0,154.5,165.0
1999-07,151.25,159.375,167.5
1999-08,156.25,165.625,175.0
1999-09,160.0,167.5,175.0
1999-10,160.0,167.5,175.0
1999-11,167.5,176.875,186.25
1999-12,165.0,177.5,190.0
2000-01,160.0,175.0,190.0
2000-02,182.5,199.375,216.25
