Fecha,Low,Mid,High
2017-07,395.0,399.375,403.75
2017-08,440.0,444.375,448.75
2017-09,490.0,495.5,501.0
2017-10,480.0,487.5,495.0
2017-11,440.0,450.0,460.0
2017-12,458.0,465.0,472.0
2018-01,517.5,522.5,527.5
2018-02,532.5,536.875,541.25
2018-03,568.0,572.5,577.0
2018-04,585.0,593.75,602.5
2018-05,566.25,575.625,585.0
2018-06,580.0,586.0,592.0
2018-07,541.25,566.875,592.5
2018-08,531.0,556.0,581.0
2018-09,505.0,516.25,527.5
2018-10,493.75,501.25,508.75
2018-11,481.0,495.0,509.0
2018-12,430.0,453.75,477.5
2019-01,454.6666666666667,477.1666666666667,499.6666666666667
2019-02,479.3333333333333,500.5833333333333,521.8333333333334
2019-03,504.0,524.0,544.0
2019-04,502.5,525.0,547.5
2019-05,490.0,506.0,522.0
2019-06,427.5,433.125,438.75
2019-07,420.0,425.0,430.0
2019-08,425.0,430.0,435.0
2019-09,417.5,425.0,432.5
2019-10,362.5,366.875,371.25
2019-11,352.0,359.5,367.0
2019-12,388.75,395.625,402.5
2020-01,426.0,433.5,441.0
2020-02,457.5,465.625,473.75
2020-03,415.0,423.125,431.25
2020-04,317.5,333.75,350.0
2020-05,335.0,342.0,349.0
2020-06,365.0,373.75,382.5
2020-07,379.0,383.5,388.0
2020-08,417.5,421.875,426.25
2020-09,452.5,462.5,472.5
2020-10,486.0,495.0,504.0
2020-11,511.25,525.625,540.0
2020-12,640.0,648.125,656.25
2021-01,740.0,750.5,761.0
2021-02,760.0,770.0,780.0
2021-03,770.0,785.0,800.0
2021-04,856.0,867.0,878.0
2021-05,950.0,962.5,975.0
2021-06,980.0,990.0,1000.0
2021-07,965.0,973.0,981.0
2021-08,905.0,913.75,922.5
2021-09,847.5,856.25,865.0
2021-10,746.0,755.0,764.0
2021-11,722.5,735.0,747.5
2021-12,601.0,614.5,628.0
2022-01,610.0,617.5,625.0
2022-02,720.0,733.75,747.5
2022-03,1025.0,1068.75,1112.5
2022-04,1220.0,1255.0,1290.0
2022-05,880.0,921.25,962.5
2022-06,755.0,781.25,807.5
2022-07,664.0,679.0,694.0
2022-08,605.0,616.875,628.75
2022-09,592.0,601.0,610.0
2022-10,570.0,576.25,582.5
2022-11,540.0,552.5,565.0
2022-12,530.0,544.0,558.0
2023-01,640.0,656.25,672.5
2023-02,782.5,796.25,810.0
2023-03,810.0,829.0,848.0
2023-04,820.0,836.25,852.5
2023-05,740.0,756.25,772.5
2023-06,654.0,663.0,672.0
2023-07,595.0,603.75,612.5
2023-08,555.0,565.0,575.0
2023-09,537.0,545.0,553.0
2023-10,516.25,525.625,535.0
2023-11,581.25,587.5,593.75
2023-12,680.0,689.0,698.0
2024-01,705.0,708.125,711.25
2024-02,665.0,672.5,680.0
2024-03,608.0,617.0,626.0
2024-04,611.25,619.375,627.5
2024-05,595.0,607.0,619.0
2024-06,560.0,570.0,580.0
2024-07,535.0,542.5,550.0
2024-08,521.0,531.0,541.0
2024-09,523.75,535.625,547.5
2024-10,532.5,538.75,545.0
2024-11,527.0,537.5,548.0
2024-12,522.5,534.375,546.25
2025-01,530.0,539.5,549.0
2025-02,515.0,525.0,535.0
2025-03,485.0,502.5,520.0
