Fecha,Low,Mid,High
1970-01,6.95,6.95,6.95
1970-02,6.95,6.95,6.95
1970-03,6.95,6.95,6.95
1970-04,6.95,6.95,6.95
1970-05,6.95,6.95,6.95
1970-06,7.5,7.5,7.5
1970-07,7.5,7.5,7.5
1970-08,7.5,7.5,7.5
1970-09,7.5,7.5,7.5
1970-10,7.5,7.5,7.5
1970-11,7.5,7.5,7.5
1970-12,7.5,7.5,7.5
1971-01,7.5,7.5,7.5
1971-02,7.5,7.5,7.5
1971-03,7.5,7.5,7.5
1971-04,7.5,7.5,7.5
1971-05,7.5,7.5,7.5
1971-06,7.95,7.95,7.95
1971-07,7.95,7.95,7.95
1971-08,7.95,7.95,7.95
1971-09,7.95,7.95,7.95
1971-10,7.95,7.95,7.95
1971-11,7.95,7.95,7.95
1971-12,7.95,7.95,7.95
1972-01,8.48,8.48,8.48
1972-02,8.35,8.35,8.35
1972-03,8.35,8.35,8.35
1972-04,8.35,8.35,8.35
1972-05,8.35,8.35,8.35
1972-06,8.35,8.35,8.35
1972-07,8.35,8.35,8.35
1972-08,8.35,8.35,8.35
1972-09,8.35,8.35,8.35
1972-10,8.35,8.35,8.35
1972-11,8.35,8.35,8.35
1972-12,8.35,8.35,8.35
1973-01,8.35,8.35,8.35
1973-02,8.35,8.35,8.35
1973-03,8.35,8.35,8.35
1973-04,8.35,8.35,8.35
1973-05,8.35,8.35,8.35
1973-06,8.35,8.35,8.35
1973-07,8.35,8.35,8.35
1973-08,8.35,8.35,8.35
1973-09,8.35,8.35,8.35
1973-10,8.4,8.4,8.4
1973-11,8.4,8.4,8.4
1973-12,8.4,8.4,8.4
1974-01,8.675,8.675,8.675
1974-02,8.675,8.675,8.675
1974-03,8.675,8.675,8.675
1974-04,8.675,8.675,8.675
1974-05,9.55,9.55,9.55
1974-06,9.55,9.55,9.55
1974-07,11.0,11.0,11.0
1974-08,11.0,11.0,11.0
1974-09,11.0,11.0,11.0
1974-10,11.0,11.0,11.0
1974-11,11.0,11.0,11.0
1974-12,11.0,11.0,11.0
1975-01,13.25,13.25,13.25
1975-02,13.25,13.25,13.25
1975-03,13.25,13.25,13.25
1975-04,12.98,12.98,12.98
1975-05,11.3,11.3,11.3
1975-06,11.3,11.3,11.3
1975-07,11.18,11.18,11.18
1975-08,11.02,11.02,11.02
1975-09,11.02,11.02,11.02
1975-10,11.55,11.55,11.55
1975-11,11.55,11.55,11.55
1975-12,11.55,11.55,11.55
1976-01,11.55,11.55,11.55
1976-02,11.55,11.55,11.55
1976-03,11.55,11.55,11.55
1976-04,11.55,11.55,11.55
1976-05,11.55,11.55,11.55
1976-06,12.28,12.28,12.28
1976-07,12.45,12.45,12.45
1976-08,12.45,12.45,12.45
1976-09,12.45,12.45,12.45
1976-10,12.45,12.45,12.45
1976-11,12.45,12.45,12.45
1976-12,13.25,13.25,13.25
1977-01,13.25,13.25,13.25
1977-02,13.25,13.25,13.25
1977-03,13.25,13.25,13.25
1977-04,13.25,13.25,13.25
1977-05,13.25,13.25,13.25
1977-06,13.67,13.67,13.67
1977-07,14.18,14.18,14.18
1977-08,14.18,14.18,14.18
1977-09,14.18,14.18,14.18
1977-10,14.18,14.18,14.18
1977-11,14.18,14.18,14.18
1977-12,14.18,14.18,14.18
1978-01,14.18,14.18,14.18
1978-02,15.0,15.0,15.0
1978-03,15.0,15.0,15.0
1978-04,15.28,15.28,15.28
1978-05,15.28,15.28,15.28
1978-06,15.28,15.28,15.28
1978-07,15.28,15.28,15.28
1978-08,15.8,15.8,15.8
1978-09,15.8,15.8,15.8
1978-10,15.8,15.8,15.8
1978-11,15.8,15.8,15.8
1978-12,15.8,15.8,15.8
