Fecha,Low,Mid,High
1999-02,17.0,17.0,17.0
1999-03,17.0,17.0,17.0
1999-04,16.666666666666668,16.666666666666668,16.666666666666668
1999-05,16.333333333333332,16.333333333333332,16.333333333333332
1999-06,16.0,16.0,16.0
1999-07,15.666666666666666,15.666666666666666,15.666666666666666
1999-08,15.333333333333334,15.333333333333334,15.333333333333334
1999-09,15.0,15.0,15.0
1999-10,15.142857142857142,15.142857142857142,15.142857142857142
1999-11,15.285714285714286,15.285714285714286,15.285714285714286
1999-12,15.428571428571429,15.428571428571429,15.428571428571429
2000-01,15.571428571428571,15.571428571428571,15.571428571428571
2000-02,15.714285714285714,15.714285714285714,15.714285714285714
2000-03,15.857142857142858,15.857142857142858,15.857142857142858
2000-04,16.0,16.0,16.0
2000-05,15.5,15.5,15.5
2000-06,15.0,15.0,15.0
2000-07,14.5,14.5,14.5
2000-08,14.0,14.0,14.0
2000-09,13.5,13.5,13.5
2000-10,13.0,13.0,13.0
2000-11,12.5,12.5,12.5
2000-12,12.0,12.0,12.0
2001-01,12.5,12.5,12.5
2001-02,13.0,13.0,13.0
2001-03,13.125,13.125,13.125
2001-04,13.25,13.25,13.25
2001-05,13.375,13.375,13.375
2001-06,13.5,13.5,13.5
2001-07,13.625,13.625,13.625
2001-08,13.75,13.75,13.75
2001-09,13.875,13.875,13.875
2001-10,14.0,14.0,14.0
2001-11,14.125,14.125,14.125
2001-12,14.25,14.25,14.25
2002-01,14.375,14.375,14.375
2002-02,14.5,14.5,14.5
2002-03,15.0,15.0,15.0
2002-04,15.5,15.5,15.5
2002-05,15.75,15.75,15.75
2002-06,16.0,16.0,16.0
2002-07,15.954545454545455,15.954545454545455,15.954545454545455
2002-08,15.909090909090908,15.909090909090908,15.909090909090908
2002-09,15.863636363636363,15.863636363636363,15.863636363636363
2002-10,15.818181818181818,15.818181818181818,15.818181818181818
2002-11,15.772727272727273,15.772727272727273,15.772727272727273
2002-12,15.727272727272727,15.727272727272727,15.727272727272727
2003-01,15.681818181818182,15.681818181818182,15.681818181818182
2003-02,15.636363636363637,15.636363636363637,15.636363636363637
2003-03,15.590909090909092,15.590909090909092,15.590909090909092
2003-04,15.545454545454545,15.545454545454545,15.545454545454545
2003-05,15.5,15.5,15.5
2003-06,16.444444444444443,16.444444444444443,16.444444444444443
2003-07,17.38888888888889,17.38888888888889,17.38888888888889
2003-08,18.333333333333332,18.333333333333332,18.333333333333332
2003-09,19.27777777777778,19.27777777777778,19.27777777777778
2003-10,20.22222222222222,20.22222222222222,20.22222222222222
2003-11,21.166666666666664,21.166666666666664,21.166666666666664
2003-12,22.11111111111111,22.11111111111111,22.11111111111111
2004-01,23.055555555555557,23.055555555555557,23.055555555555557
2004-02,24.0,24.0,24.0
2004-03,24.0,24.0,24.0
2004-04,31.0,32.0,33.0
2004-05,32.0,33.0,34.0
2004-06,33.0,34.0,35.0
2004-07,35.333333333333336,36.166666666666664,37.0
2004-08,37.666666666666664,38.333333333333336,39.0
2004-09,40.0,40.5,41.0
2004-10,39.8,40.2,40.6
2004-11,39.6,39.9,40.2
2004-12,39.4,39.6,39.8
2005-01,39.2,39.3,39.4
2005-02,39.0,39.0,39.0
2005-03,40.0,40.5,41.0
2005-04,41.0,41.5,42.0
2005-05,39.0,40.5,42.0
2005-06,39.0,39.5,40.0
2005-07,35.0,36.0,37.0
2005-08,37.5,38.0,38.5
2005-09,40.0,40.0,40.0
2005-10,40.0,40.25,40.5
2005-11,40.0,40.5,41.0
2005-12,40.2,40.7,41.2
2006-01,40.4,40.9,41.4
2006-02,40.6,41.1,41.6
2006-03,40.8,41.3,41.8
2006-04,41.0,41.5,42.0
2006-05,41.5,42.0,42.5
2006-06,42.0,42.5,43.0
2006-07,41.5,42.0,42.5
2006-08,41.0,41.5,42.0
2006-09,40.5,41.0,41.5
2006-10,40.0,40.5,41.0
2006-11,40.5,41.0,41.5
2006-12,41.0,41.5,42.0
2007-01,41.5,42.0,42.5
2007-02,42.0,42.5,43.0
2007-03,42.5,43.0,43.5
2007-04,41.6,42.3,43.0
2007-05,40.7,41.6,42.5
2007-06,39.8,40.9,42.0
2007-07,38.9,40.2,41.5
2007-08,38.0,39.5,41.0
2007-09,38.5,39.875,41.25
2007-10,39.0,40.25,41.5
2007-11,39.5,40.625,41.75
2007-12,40.0,41.0,42.0
2008-01,43.0,44.0,45.0
2008-02,45.0,45.75,46.5
2008-03,52.0,53.0,54.0
2008-04,63.5,64.5,65.5
2008-05,66.0,66.5,67.0
2008-06,71.0,71.0,71.0
2008-07,73.0,73.0,73.0
2008-08,75.0,75.0,75.0
2008-09,74.0,74.0,74.0
2008-10,67.75,67.75,67.75
2008-11,61.5,61.5,61.5
2008-12,54.0,54.0,54.0
2009-01,44.0,44.0,44.0
2009-02,39.0,39.0,39.0
2009-03,35.0,35.0,35.0
2009-04,29.0,29.0,29.0
2009-05,29.666666666666668,29.666666666666668,29.666666666666668
2009-06,30.333333333333332,30.333333333333332,30.333333333333332
2009-07,31.0,31.0,31.0
2009-08,32.0,32.0,32.0
2009-09,32.0,32.0,32.0
2009-10,32.0,32.0,32.0
2009-11,32.75,32.75,32.75
2009-12,33.5,33.5,33.5
2010-01,36.5,36.5,36.5
2010-02,38.125,38.125,38.125
2010-03,39.75,39.75,39.75
2010-04,44.0,44.0,44.0
2010-05,42.666666666666664,42.666666666666664,42.666666666666664
2010-06,41.333333333333336,41.333333333333336,41.333333333333336
2010-07,40.0,40.0,40.0
2010-08,39.333333333333336,39.333333333333336,39.333333333333336
2010-09,38.666666666666664,38.666666666666664,38.666666666666664
2010-10,38.0,38.0,38.0
2010-11,38.5,38.5,38.5
2010-12,40.0,40.0,40.0
2011-01,43.75,43.75,43.75
2011-02,52.0,52.0,52.0
2011-03,54.0,54.0,54.0
2011-04,56.0,56.0,56.0
2011-05,54.0,54.0,54.0
2011-06,52.5,52.5,52.5
2011-07,51.0,51.0,51.0
2011-08,50.7,50.7,50.7
2011-09,49.75,49.75,49.75
2011-10,48.375,48.375,48.375
2011-11,47.25,47.25,47.25
2011-12,46.25,46.25,46.25
2012-01,47.0,47.0,47.0
2012-02,46.5,46.5,46.5
2012-03,46.0,46.0,46.0
2012-04,45.5,45.5,45.5
2012-05,45.0,45.0,45.0
2012-06,43.0,43.0,43.0
2012-07,41.0,41.0,41.0
2012-08,39.0,39.0,39.0
2012-09,38.0,38.0,38.0
2012-10,36.375,36.375,36.375
2012-11,34.666666666666664,34.666666666666664,34.666666666666664
2012-12,36.5,36.5,36.5
2013-01,36.0,36.0,36.0
2013-02,35.5,35.5,35.5
2013-03,36.0,36.0,36.0
2013-04,37.0,37.0,37.0
2013-05,36.25,36.25,36.25
2013-06,35.5,35.5,35.5
2013-07,35.5,35.5,35.5
2013-08,35.375,35.375,35.375
2013-09,35.25,35.25,35.25
2013-10,36.0,36.0,36.0
2013-11,37.0,37.0,37.0
2013-12,38.5,38.5,38.5
2014-01,39.5,39.5,39.5
2014-02,39.9375,39.9375,39.9375
2014-03,40.375,40.375,40.375
2014-04,40.8125,40.8125,40.8125
2014-05,41.25,41.25,41.25
2014-06,43.0,43.0,43.0
2014-07,43.5,43.5,43.5
2014-08,44.0,44.0,44.0
2014-09,43.375,43.375,43.375
2014-10,41.125,41.125,41.125
2014-11,40.166666666666664,40.166666666666664,40.166666666666664
2014-12,38.7,38.7,38.7
2015-01,36.208333333333336,36.208333333333336,36.208333333333336
2015-02,33.5625,33.5625,33.5625
2015-03,32.375,32.375,32.375
2015-04,30.1,30.1,30.1
2015-05,28.9375,28.9375,28.9375
2015-06,29.0,29.0,29.0
2015-07,28.35,28.35,28.35
2015-08,28.125,28.125,28.125
2015-09,26.9375,26.9375,26.9375
2015-10,24.85,24.85,24.85
2015-11,23.875,23.875,23.875
2015-12,23.0,23.0,23.0
2016-01,23.7,23.7,23.7
2016-02,23.375,23.375,23.375
2016-03,24.625,24.625,24.625
2016-04,27.9,27.9,27.9
2016-05,32.75,32.75,32.75
2016-06,33.375,33.375,33.375
2016-07,31.15,31.15,31.15
2016-08,29.0625,29.0625,29.0625
2016-09,26.2,26.2,26.2
2016-10,23.625,23.625,23.625
2016-11,25.25,25.25,25.25
2016-12,29.375,29.375,29.375
2017-01,32.125,32.125,32.125
2017-02,34.5,34.5,34.5
2017-03,36.4,36.4,36.4
2017-04,36.75,36.75,36.75
2017-05,36.375,36.375,36.375
2017-06,35.7,35.7,35.7
2017-07,35.625,35.625,35.625
2017-08,34.0,34.0,34.0
2017-09,34.05,34.05,34.05
2017-10,31.8125,31.8125,31.8125
2017-11,31.625,31.625,31.625
2017-12,33.67,33.67,33.67
2018-01,36.0625,36.0625,36.0625
2018-02,40.25,40.25,40.25
2018-03,45.2,45.2,45.2
2018-04,47.0,47.0,47.0
2018-05,46.3125,46.3125,46.3125
2018-06,47.2,47.2,47.2
2018-07,48.0,48.0,48.0
2018-08,47.8,47.8,47.8
2018-09,48.5,48.5,48.5
2018-10,48.125,48.125,48.125
2018-11,49.4,49.4,49.4
2018-12,49.375,49.375,49.375
2019-01,48.75,48.75,48.75
2019-02,47.75,47.75,47.75
2019-03,46.7,46.7,46.7
2019-04,45.75,45.75,45.75
2019-05,43.0,43.0,43.0
2019-06,38.875,38.875,38.875
2019-07,36.25,36.25,36.25
2019-08,35.5,35.5,35.5
2019-09,34.375,34.375,34.375
2019-10,32.625,32.625,32.625
2019-11,30.125,30.125,30.125
2019-12,31.4,31.4,31.4
2020-01,32.0,32.0,32.0
2020-02,31.0,31.0,31.0
2020-03,30.625,30.625,30.625
2020-04,29.375,29.375,29.375
2020-05,27.3,27.3,27.3
2020-06,26.9375,26.9375,26.9375
2020-07,26.0,26.0,26.0
2020-08,25.75,25.75,25.75
2020-09,26.75,26.75,26.75
2020-10,29.7,29.7,29.7
2020-11,33.125,33.125,33.125
2020-12,38.375,38.375,38.375
2021-01,47.8,47.8,47.8
2021-02,52.125,52.125,52.125
2021-03,54.5,54.5,54.5
2021-04,58.8,58.8,58.8
2021-05,67.375,67.375,67.375
2021-06,71.875,71.875,71.875
2021-07,77.4,77.4,77.4
2021-08,84.0,84.0,84.0
2021-09,87.25,87.25,87.25
2021-10,89.0,89.0,89.0
2021-11,90.1875,90.1875,90.1875
2021-12,90.75,90.75,90.75
2022-01,90.75,90.75,90.75
2022-02,90.5625,90.5625,90.5625
2022-03,91.5,91.5,91.5
2022-04,94.55,94.55,94.55
2022-05,94.8,94.8,94.8
2022-06,90.75,90.75,90.75
2022-07,89.5,89.5,89.5
2022-08,87.0,87.0,87.0
2022-09,84.25,84.25,84.25
2022-10,79.25,79.25,79.25
2022-11,78.8,78.8,78.8
2022-12,71.75,71.75,71.75
2023-01,71.0,71.0,71.0
2023-02,71.0,71.0,71.0
2023-03,75.375,75.375,75.375
2023-04,77.0,77.0,77.0
2023-05,77.8,77.8,77.8
2023-06,76.0,76.0,76.0
2023-07,75.0,75.0,75.0
2023-08,74.9,74.9,74.9
2023-09,74.125,74.125,74.125
2023-10,71.1,71.1,71.1
2023-11,66.75,66.75,66.75
2023-12,66.0,66.0,66.0
2024-01,65.7,65.7,65.7
2024-02,64.25,64.25,64.25
2024-03,60.375,60.375,60.375
2024-04,56.3,56.3,56.3
2024-05,54.0,54.0,54.0
2024-06,53.0,53.0,53.0
2024-07,50.6,50.6,50.6
2024-08,48.375,48.375,48.375
2024-09,45.25,45.25,45.25
2024-10,43.8,43.8,43.8
2024-11,42.5,42.5,42.5
2024-12,42.2,42.2,42.2
2025-01,42.25,42.25,42.25
2025-02,46.75,46.75,46.75
2025-03,60.0,60.0,60.0
