,Fecha,Total,Edificación,"Agua, riego y saneamiento",Electricidad y comunicaciones,Transporte,Petróleo y petroquímica,Otras construcciones
0,2012-01,-4.2,-0.3,5.5,-0.9,-5.8,-3.4,-3.2
1,2012-02,0.4,0.1,-5.1,-5.1,1.9,-3.5,3.7
2,2012-03,0.4,-0.4,4,-1.3,1.9,10.3,-0.9
3,2012-04,0,4.9,-9.9,-2.6,0.5,-4.5,0.3
4,2012-05,1.3,0.4,7.5,5.8,2.5,4.8,0.3
5,2012-06,0.9,-0.5,-1.4,3,-0.1,-3.4,5
6,2012-07,0.7,0.4,-0.3,-9,2.1,3.8,5.8
7,2012-08,1.2,-4.7,-1.2,2.7,3.7,7.2,0.6
8,2012-09,-0.1,2.4,-0.8,-5.8,-2.2,3.2,4.5
9,2012-10,-0.2,-0.2,-4.1,-1.2,-1,-3.9,5
10,2012-11,-1,1.1,-9,-5.3,-4,-2.1,-1.2
11,2012-12,-3.7,-4.3,-7.4,3.2,-0.7,-1.5,-2.8
12,2013-01,1.1,-2.3,-7.2,8.5,-1.4,-4.8,8.8
13,2013-02,-0.3,1,11.7,1.3,-6.5,5.3,6.2
14,2013-03,-0.9,0.3,-15.6,9.5,-5.4,-0.5,-0.6
15,2013-04,1.2,1,27.1,-3.7,0.8,0.4,16.9
16,2013-05,-1.7,-4.5,-1.5,-4,0.4,1,-1.8
17,2013-06,-0.1,-4.4,7.4,8.7,1.2,3.5,-1.9
18,2013-07,-0.6,1.5,3.2,9.6,-3.1,-1.4,-2.2
19,2013-08,-0.6,3.9,-7.3,2.7,-5.6,-15,-3.3
20,2013-09,-2.7,-6.7,-16.8,-13.8,8.6,-6.1,-0.2
21,2013-10,1.4,5.7,9.6,7.5,-0.1,6.8,-15.5
22,2013-11,-0.7,-2.2,1.3,-8.8,1.3,2.9,11
23,2013-12,3.2,2.6,9.1,2.2,0.6,-2.2,7.5
24,2014-01,-0.1,3.4,-5.6,-14.2,-0.4,-8.8,0.7
25,2014-02,-0.2,-0.1,-0.6,15,-1.7,-2,2.4
26,2014-03,-1.2,0.9,-1.7,-12.9,-4.7,-3,1.3
27,2014-04,0.5,-2.3,-3.9,5.2,6.5,18.5,-4.3
28,2014-05,0.6,1.4,7.7,-7.4,-5,-1.1,5.9
29,2014-06,-0.5,2.3,-16.9,12.2,-0.5,-11.7,-1.3
30,2014-07,-3.8,-3.3,-1.4,-5.4,0.5,5.9,-6.5
31,2014-08,3.7,1.9,11.1,-1.4,4.8,4,-1.1
32,2014-09,0.8,-1.5,5.9,11.3,0,-7.7,5.2
33,2014-10,-0.3,2.9,-5.1,-6.3,-1,6.3,-9.8
34,2014-11,2.1,0.7,9.5,10.2,2.5,2.5,4.2
35,2014-12,-2.1,-1.2,-5.2,-12.7,-0.6,-1.7,-0.1
36,2015-01,-0.8,-4.8,-1.9,6.7,-3.9,23.3,2.8
37,2015-02,-0.7,1.8,-12.2,-3.1,-3.6,8.1,-6.1
38,2015-03,2.1,4,9,0.3,-9.8,2.6,9.5
