Año,Mes,País,Producto,Importacion
2024,Enero,Argentina,Largos,9.491
2024,Enero,Argentina,Planos,39.365
2024,Enero,Argentina,Tubos Sin Costura,3.343
2024,Enero,Argentina,Laminados,52.199
2024,Enero,Bolivia,Largos,19.502272
2024,Enero,Bolivia,Planos,26.493611
2024,Enero,Bolivia,Tubos Sin Costura,0.773488
2024,Enero,Bolivia,Laminados,46.76937100000001
2024,Enero,Brasil,Largos,102.614
2024,Enero,Brasil,Planos,166.866
2024,Enero,Brasil,Tubos Sin Costura,0.0
2024,Enero,Brasil,Laminados,269.48
2024,Enero,Chile,Largos,29.600894849999992
2024,Enero,Chile,Planos,98.34858347999999
2024,Enero,Chile,Tubos Sin Costura,1.9262638700000005
2024,Enero,Chile,Laminados,129.8757422
2024,Enero,Colombia,Largos,14.3466472
2024,Enero,Colombia,Planos,92.94033016
2024,Enero,Colombia,Tubos Sin Costura,14.75916516
2024,Enero,Colombia,Laminados,122.04614252
2024,Enero,Costa Rica,Largos,9.942781579999997
2024,Enero,Costa Rica,Planos,38.31908462999997
2024,Enero,Costa Rica,Tubos Sin Costura,0.45229560000000046
2024,Enero,Costa Rica,Laminados,48.714161809999965
2024,Enero,Ecuador,Largos,11.296900070000001
2024,Enero,Ecuador,Planos,65.58342819999996
2024,Enero,Ecuador,Tubos Sin Costura,13.864235099999982
2024,Enero,Ecuador,Laminados,90.74456336999995
2024,Enero,El Salvador,Largos,22.568627400000004
2024,Enero,El Salvador,Planos,23.944200799999997
2024,Enero,El Salvador,Tubos Sin Costura,0.1095069
2024,Enero,El Salvador,Laminados,46.6223351
2024,Enero,Guatemala,Largos,49.62479
2024,Enero,Guatemala,Planos,63.680134
2024,Enero,Guatemala,Tubos Sin Costura,0.92372
2024,Enero,Guatemala,Laminados,114.228644
2024,Enero,Honduras,Largos,12.73219577
2024,Enero,Honduras,Planos,6.6103052799999995
2024,Enero,Honduras,Tubos Sin Costura,0.1699002
2024,Enero,Honduras,Laminados,19.51240125
2024,Enero,México,Largos,168.05124850342
2024,Enero,México,Planos,796.89122772916
2024,Enero,México,Tubos Sin Costura,10.1629784737
2024,Enero,México,Laminados,975.10545470628
2024,Enero,Panamá,Largos,9.224668
2024,Enero,Panamá,Planos,3.382102
