Fecha,anglePerfilesComerciales
1993-11,15.8
1993-12,16.05
1994-01,16.3
1994-02,16.383333333333333
1994-03,16.46666666666667
1994-04,16.55
1994-05,16.633333333333333
1994-06,16.71666666666667
1994-07,16.8
1994-08,16.96666666666667
1994-09,17.133333333333333
1994-10,17.3
1994-11,17.46666666666667
1994-12,17.633333333333333
1995-01,17.8
1995-02,17.731578947368423
1995-03,17.66315789473684
1995-04,17.594736842105263
1995-05,17.526315789473685
1995-06,17.457894736842107
1995-07,17.389473684210525
1995-08,17.321052631578947
1995-09,17.25263157894737
1995-10,17.18421052631579
1995-11,17.11578947368421
1995-12,17.04736842105263
1996-01,16.978947368421053
1996-02,16.910526315789475
1996-03,16.842105263157894
1996-04,16.773684210526316
1996-05,16.705263157894738
1996-06,16.63684210526316
1996-07,16.568421052631578
1996-08,16.5
1996-09,16.59375
1996-10,16.6875
1996-11,16.78125
1996-12,16.875
1997-01,16.96875
1997-02,17.0625
1997-03,17.15625
1997-04,17.25
1997-05,17.625
1997-06,18.0
1997-07,17.83157894736842
1997-08,17.66315789473684
1997-09,17.49473684210526
1997-10,17.326315789473686
1997-11,17.157894736842106
1997-12,16.989473684210527
1998-01,16.821052631578947
1998-02,16.652631578947368
1998-03,16.48421052631579
1998-04,16.315789473684212
1998-05,16.147368421052633
1998-06,15.978947368421053
1998-07,15.810526315789474
1998-08,15.642105263157895
1998-09,15.473684210526317
1998-10,15.305263157894737
1998-11,15.136842105263158
1998-12,14.96842105263158
1999-01,14.8
1999-02,14.711764705882354
1999-03,14.623529411764707
1999-04,14.535294117647059
1999-05,14.447058823529412
1999-06,14.358823529411765
1999-07,14.270588235294118
1999-08,14.182352941176472
1999-09,14.094117647058825
1999-10,14.005882352941176
1999-11,13.91764705882353
1999-12,13.829411764705883
2000-01,13.741176470588236
2000-02,13.65294117647059
2000-03,13.564705882352943
2000-04,13.476470588235294
2000-05,13.388235294117647
2000-06,13.3
2000-07,13.211764705882354
2000-08,13.123529411764707
2000-09,13.035294117647059
2000-10,12.947058823529412
2000-11,12.858823529411765
2000-12,12.770588235294118
2001-01,12.682352941176472
2001-02,12.594117647058823
2001-03,12.505882352941176
2001-04,12.41764705882353
2001-05,12.329411764705883
2001-06,12.241176470588236
2001-07,12.152941176470588
2001-08,12.064705882352943
2001-09,11.976470588235294
2001-10,11.888235294117647
2001-11,11.8
2001-12,11.9875
2002-01,12.175
2002-02,12.3625
2002-03,12.55
2002-04,12.675
2002-05,12.8
2002-06,12.925
2002-07,13.05
2002-08,13.175
2002-09,13.3
2002-10,13.4875
2002-11,13.675
2002-12,13.8625
2003-01,14.05
2003-02,14.341666666666667
2003-03,14.633333333333335
2003-04,14.925
2003-05,15.216666666666667
2003-06,15.508333333333335
2003-07,15.8
2003-08,16.55
2003-09,17.05
2003-10,17.3
2003-11,17.55
2003-12,19.275
2004-01,21.0
2004-02,19.775
2004-03,18.55
