Fecha,wBeamsPerfilesEstructurales
2005-06,26.0
2005-07,26.0
2005-08,29.0
2005-09,31.0
2005-10,31.0
2005-11,31.0
2005-12,31.0
2006-01,31.0
2006-02,31.0
2006-03,31.0
2006-04,32.0
2006-05,33.1
2006-06,33.5
2006-07,33.5
2006-08,33.5
2006-09,33.5
2006-10,33.5
2006-11,33.5
2006-12,33.5
2007-01,34.75
2007-02,36.0
2007-03,38.5
2007-04,38.5
2007-05,38.5
2007-06,38.5
2007-07,38.5
2007-08,38.5
2007-09,39.35
2007-10,39.35
2007-11,39.35
2007-12,40.6
2008-01,43.85
2008-02,43.85
2008-03,44.85
2008-04,50.35
2008-05,52.85
2008-06,54.35
2008-07,57.6
2008-08,57.6
2008-09,57.6
2008-10,47.6
2008-11,43.45
2008-12,45.2
2009-01,45.2
2009-02,43.7
2009-03,42.45
2009-04,34.75
2009-05,35.75
2009-06,36.75
2009-07,37.75
2009-08,37.25
2009-09,36.75
2009-10,36.25
2009-11,37.25
2009-12,38.25
2010-01,36.0
2010-02,37.25
2010-03,38.5
2010-04,38.083333333333336
2010-05,37.666666666666664
2010-06,37.25
2010-07,36.25
2010-08,37.125
2010-09,38.0
2010-10,38.5
2010-11,39.0
2010-12,39.5
2011-01,41.75
2011-02,45.0
2011-03,44.0
2011-04,43.0
2011-05,42.0
2011-06,41.0
2011-07,42.0
2011-08,41.75
2011-09,41.5
2011-10,41.25
2011-11,41.0
2011-12,42.0
2012-01,43.5
2012-02,42.0
2012-03,41.625
2012-04,41.25
2012-05,40.875
2012-06,40.5
2012-07,39.0
2012-08,39.5
2012-09,38.75
2012-10,36.63
2012-11,38.13
2012-12,39.0
2013-01,38.25
2013-02,38.75
2013-03,39.25
2013-04,39.75
2013-05,37.13
2013-06,36.5
2013-07,35.5
2013-08,35.54333333333334
2013-09,35.586666666666666
2013-10,35.63
2013-11,35.75
2013-12,36.875
2014-01,38.0
2014-02,38.5
2014-03,41.0
2014-04,40.75
2014-05,40.5
2014-06,40.75
2014-07,41.0
2014-08,40.6
2014-09,40.2
2014-10,39.8
2014-11,39.4
2014-12,39.0
2015-01,39.0
2015-02,36.0
2015-03,36.0
2015-04,36.0
2015-05,36.0
2015-06,36.0
2015-07,36.0
2015-08,36.0
2015-09,35.0
2015-10,35.0
2015-11,35.0
2015-12,35.0
2016-01,35.0
2016-02,35.0
2016-03,34.0
2016-04,35.0
2016-05,35.75
2016-06,35.75
2016-07,35.75
2016-08,35.75
2016-09,32.5
2016-10,32.5
2016-11,34.0
2016-12,34.875
2017-01,35.75
2017-02,35.75
2017-03,35.75
2017-04,35.75
2017-05,35.75
2017-06,35.75
2017-07,35.75
2017-08,35.75
2017-09,31.75
2017-10,31.75
2017-11,31.75
2017-12,33.75
2018-01,36.0
2018-02,37.5625
2018-03,39.125
2018-04,42.0
2018-05,42.0
2018-06,43.5
2018-07,43.5
2018-08,43.5
2018-09,43.5
2018-10,41.75
2018-11,41.75
2018-12,41.75
2019-01,41.75
2019-02,43.25
2019-03,43.25
2019-04,43.25
2019-05,41.25
2019-06,38.25
2019-07,38.25
2019-08,35.25
2019-09,33.75
2019-10,32.75
2019-11,33.625
2019-12,34.5
2020-01,36.5
2020-02,36.5
2020-03,36.5
2020-04,35.25
2020-05,35.25
2020-06,35.25
2020-07,35.25
2020-08,35.25
2020-09,35.25
2020-10,35.25
2020-11,38.0
2020-12,45.5
2021-01,47.5
2021-02,47.5
2021-03,50.0
2021-04,52.5
2021-05,60.0
2021-06,60.0
2021-07,63.0
2021-08,65.5
2021-09,68.0
2021-10,68.0
2021-11,70.5
2021-12,70.5
2022-01,70.5
2022-02,70.5
2022-03,73.5
2022-04,76.5
2022-05,76.5
2022-06,76.5
2022-07,73.5
2022-08,73.5
2022-09,73.5
2022-10,70.5
2022-11,66.0
2022-12,66.0
2023-01,66.0
2023-02,66.0
2023-03,68.5
2023-04,68.5
2023-05,68.5
2023-06,68.5
2023-07,67.6
2023-08,64.75
2023-09,64.75
2023-10,64.75
2023-11,64.75
2023-12,64.75
2024-01,67.25
2024-02,67.25
2024-03,63.25
2024-04,63.25
2024-05,63.25
2024-06,63.25
2024-07,63.25
2024-08,63.25
2024-09,63.25
2024-10,63.25
2024-11,63.25
2024-12,63.25
2025-01,63.25
2025-02,63.25
