Año,Mes,Familia_canacero,Vol. Ventas (ton)
2018,enero,01.01 PLACA DE ROLLO,11895.3625
2018,enero,01.02 PLACA DE HOJA,3344.6
2018,enero,02.01 LAMINA EN CALIENTE,10674.189105000003
2018,enero,03.01 LAMINA EN FRIO,994.039
2018,enero,04.01 LAMINA GALVANIZADA,175.86
2018,enero,05.01 PERFILES ESTRUCTURALES,11091.7855
2018,enero,06.01 PERFILES COMERCIALES,3079.247
2018,febrero,01.01 PLACA DE ROLLO,9888.5144
2018,febrero,01.02 PLACA DE HOJA,2100.7279
2018,febrero,02.01 LAMINA EN CALIENTE,7326.124921999999
2018,febrero,03.01 LAMINA EN FRIO,753.252
2018,febrero,04.01 LAMINA GALVANIZADA,143.491
2018,febrero,05.01 PERFILES ESTRUCTURALES,9140.2734
2018,febrero,06.01 PERFILES COMERCIALES,2669.081
2018,marzo,01.01 PLACA DE ROLLO,12495.709202000002
2018,marzo,01.02 PLACA DE HOJA,1427.315
2018,marzo,02.01 LAMINA EN CALIENTE,9297.440789999999
2018,marzo,03.01 LAMINA EN FRIO,935.135
2018,marzo,04.01 LAMINA GALVANIZADA,163.484
2018,marzo,05.01 PERFILES ESTRUCTURALES,10238.60154
2018,marzo,06.01 PERFILES COMERCIALES,3008.352
2018,abril,01.01 PLACA DE ROLLO,10563.975845000003
2018,abril,01.02 PLACA DE HOJA,2159.007176
2018,abril,02.01 LAMINA EN CALIENTE,7331.194294
2018,abril,03.01 LAMINA EN FRIO,835.028
2018,abril,04.01 LAMINA GALVANIZADA,148.461
2018,abril,05.01 PERFILES ESTRUCTURALES,8067.454
2018,abril,06.01 PERFILES COMERCIALES,3560.813
2018,mayo,01.01 PLACA DE ROLLO,12415.699501
2018,mayo,01.02 PLACA DE HOJA,1756.5893500000002
2018,mayo,02.01 LAMINA EN CALIENTE,8734.480837999994
2018,mayo,03.01 LAMINA EN FRIO,939.027
2018,mayo,04.01 LAMINA GALVANIZADA,124.863
2018,mayo,05.01 PERFILES ESTRUCTURALES,12012.631800000001
2018,mayo,06.01 PERFILES COMERCIALES,3641.072
2018,junio,01.01 PLACA DE ROLLO,9158.08613
2018,junio,01.02 PLACA DE HOJA,1513.713887
2018,junio,02.01 LAMINA EN CALIENTE,5616.012702
2018,junio,03.01 LAMINA EN FRIO,646.801
2018,junio,04.01 LAMINA GALVANIZADA,191.531
2018,junio,05.01 PERFILES ESTRUCTURALES,11877.138818
2018,junio,06.01 PERFILES COMERCIALES,3486.146761
2018,julio,01.01 PLACA DE ROLLO,9364.669076000002
2018,julio,01.02 PLACA DE HOJA,1629.2559939999999
2018,julio,02.01 LAMINA EN CALIENTE,6175.259429
2018,julio,03.01 LAMINA EN FRIO,719.737
2018,julio,04.01 LAMINA GALVANIZADA,188.967
2018,julio,05.01 PERFILES ESTRUCTURALES,9894.63186
2018,julio,06.01 PERFILES COMERCIALES,3512.73
2018,agosto,01.01 PLACA DE ROLLO,10297.9038
2018,agosto,01.02 PLACA DE HOJA,1714.584742
2018,agosto,02.01 LAMINA EN CALIENTE,7024.086133
2018,agosto,03.01 LAMINA EN FRIO,638.566
2018,agosto,04.01 LAMINA GALVANIZADA,216.749
2018,agosto,05.01 PERFILES ESTRUCTURALES,11155.553428
2018,agosto,06.01 PERFILES COMERCIALES,3352.436
2018,septiembre,01.01 PLACA DE ROLLO,9435.197966000002
2018,septiembre,01.02 PLACA DE HOJA,2143.985
2018,septiembre,02.01 LAMINA EN CALIENTE,6637.069995000001
2018,septiembre,03.01 LAMINA EN FRIO,600.175
2018,septiembre,04.01 LAMINA GALVANIZADA,177.356
2018,septiembre,05.01 PERFILES ESTRUCTURALES,8742.21296
2018,septiembre,06.01 PERFILES COMERCIALES,2989.143
2018,octubre,01.01 PLACA DE ROLLO,11917.721084000003
2018,octubre,01.02 PLACA DE HOJA,2455.094
2018,octubre,02.01 LAMINA EN CALIENTE,8227.948067000003
2018,octubre,03.01 LAMINA EN FRIO,788.866
2018,octubre,04.01 LAMINA GALVANIZADA,170.27
2018,octubre,05.01 PERFILES ESTRUCTURALES,9328.688987
2018,octubre,06.01 PERFILES COMERCIALES,3152.2493389999995
2018,noviembre,01.01 PLACA DE ROLLO,11528.409421
2018,noviembre,01.02 PLACA DE HOJA,1493.714966
2018,noviembre,02.01 LAMINA EN CALIENTE,6745.206369999999
2018,noviembre,03.01 LAMINA EN FRIO,693.955
2018,noviembre,04.01 LAMINA GALVANIZADA,160.973
2018,noviembre,05.01 PERFILES ESTRUCTURALES,8760.314859999999
2018,noviembre,06.01 PERFILES COMERCIALES,2733.4795
2018,diciembre,01.01 PLACA DE ROLLO,10055.907618000001
2018,diciembre,01.02 PLACA DE HOJA,1613.8599370000002
2018,diciembre,02.01 LAMINA EN CALIENTE,5171.5052319999995
2018,diciembre,03.01 LAMINA EN FRIO,603.20313
2018,diciembre,04.01 LAMINA GALVANIZADA,104.08147
2018,diciembre,05.01 PERFILES ESTRUCTURALES,9364.01014
2018,diciembre,06.01 PERFILES COMERCIALES,2803.41046
2019,enero,01.01 PLACA DE ROLLO,9795.464483
2019,enero,01.02 PLACA DE HOJA,1708.348
2019,enero,02.01 LAMINA EN CALIENTE,6897.792274999999
2019,enero,03.01 LAMINA EN FRIO,1134.385
2019,enero,04.01 LAMINA GALVANIZADA,116.035
2019,enero,05.01 PERFILES ESTRUCTURALES,10395.155368
2019,enero,06.01 PERFILES COMERCIALES,3583.429
2019,febrero,01.01 PLACA DE ROLLO,9077.221177000001
2019,febrero,01.02 PLACA DE HOJA,1497.2439030000003
2019,febrero,02.01 LAMINA EN CALIENTE,6086.970590999998
2019,febrero,03.01 LAMINA EN FRIO,827.02
2019,febrero,04.01 LAMINA GALVANIZADA,105.09
2019,febrero,05.01 PERFILES ESTRUCTURALES,8304.624512
2019,febrero,06.01 PERFILES COMERCIALES,3115.042
2019,marzo,01.01 PLACA DE ROLLO,11277.670947999999
2019,marzo,01.02 PLACA DE HOJA,2175.8773909999995
2019,marzo,02.01 LAMINA EN CALIENTE,7115.116995000001
2019,marzo,03.01 LAMINA EN FRIO,735.81287
2019,marzo,04.01 LAMINA GALVANIZADA,159.16953
2019,marzo,05.01 PERFILES ESTRUCTURALES,8762.781627999999
2019,marzo,06.01 PERFILES COMERCIALES,3420.5809299999996
2019,abril,01.01 PLACA DE ROLLO,9379.951258000003
2019,abril,01.02 PLACA DE HOJA,2180.631
2019,abril,02.01 LAMINA EN CALIENTE,6430.703019999999
2019,abril,03.01 LAMINA EN FRIO,843.526
2019,abril,04.01 LAMINA GALVANIZADA,103.341
2019,abril,05.01 PERFILES ESTRUCTURALES,7990.58868
2019,abril,06.01 PERFILES COMERCIALES,2718.6791630000002
2019,mayo,01.01 PLACA DE ROLLO,10557.733668
2019,mayo,01.02 PLACA DE HOJA,2211.762
2019,mayo,02.01 LAMINA EN CALIENTE,7694.873923999998
2019,mayo,03.01 LAMINA EN FRIO,752.782
2019,mayo,04.01 LAMINA GALVANIZADA,155.362
2019,mayo,05.01 PERFILES ESTRUCTURALES,9488.32476
2019,mayo,06.01 PERFILES COMERCIALES,4059.4295
2019,junio,01.01 PLACA DE ROLLO,10867.62927
2019,junio,01.02 PLACA DE HOJA,2064.886
2019,junio,02.01 LAMINA EN CALIENTE,6306.952036000001
2019,junio,03.01 LAMINA EN FRIO,932.461
2019,junio,04.01 LAMINA GALVANIZADA,147.924
2019,junio,05.01 PERFILES ESTRUCTURALES,8748.972730000001
2019,junio,06.01 PERFILES COMERCIALES,2908.519
2019,julio,01.01 PLACA DE ROLLO,13142.797873999996
2019,julio,01.02 PLACA DE HOJA,2023.071
2019,julio,02.01 LAMINA EN CALIENTE,8004.993644000001
2019,julio,03.01 LAMINA EN FRIO,976.137
2019,julio,04.01 LAMINA GALVANIZADA,191.461
2019,julio,05.01 PERFILES ESTRUCTURALES,9593.43486
2019,julio,06.01 PERFILES COMERCIALES,3118.1164129999997
2019,agosto,01.01 PLACA DE ROLLO,12534.438274
2019,agosto,01.02 PLACA DE HOJA,1978.249
2019,agosto,02.01 LAMINA EN CALIENTE,7919.86792
2019,agosto,03.01 LAMINA EN FRIO,743.45
2019,agosto,04.01 LAMINA GALVANIZADA,170
2019,agosto,05.01 PERFILES ESTRUCTURALES,9831.155978
2019,agosto,06.01 PERFILES COMERCIALES,3736.1231849999995
2019,septiembre,01.01 PLACA DE ROLLO,10417.971984
2019,septiembre,01.02 PLACA DE HOJA,1370.1863999999998
2019,septiembre,02.01 LAMINA EN CALIENTE,5795.606583999999
2019,septiembre,03.01 LAMINA EN FRIO,754.193
2019,septiembre,04.01 LAMINA GALVANIZADA,137.125
2019,septiembre,05.01 PERFILES ESTRUCTURALES,8270.209243
