Año,Mes,País,Material,Producto,Producción
2024,Enero,Argentina,Acero,H.Eléctrico,240.998
2024,Enero,Argentina,Acero,BOF,166.765
2024,Enero,Brasil,Acero,H.Eléctrico,656.539
2024,Enero,Brasil,Acero,BOF,2066.456
2024,Enero,Chile,Acero,H.Eléctrico,35.64
2024,Enero,Chile,Acero,BOF,64.3049999999999
2024,Enero,Colombia,Acero,H.Eléctrico,100.585787
2024,Enero,Colombia,Acero,BOF,0.0
2024,Enero,Cuba,Acero,H.Eléctrico,19.324207820355184
2024,Enero,Cuba,Acero,BOF,0.0
2024,Enero,Ecuador,Acero,H.Eléctrico,53.964610712361264
2024,Enero,Ecuador,Acero,BOF,0.0
2024,Enero,El Salvador,Acero,H.Eléctrico,8.800031396781165
2024,Enero,El Salvador,Acero,BOF,0.0
2024,Enero,Guatemala,Acero,H.Eléctrico,27.20969512071999
2024,Enero,Guatemala,Acero,BOF,0.0
2024,Enero,México,Acero,H.Eléctrico,0.0
2024,Enero,México,Acero,BOF,0.0
2024,Enero,Paraguay,Acero,H.Eléctrico,0.0
2024,Enero,Paraguay,Acero,BOF,2.3336311365875577
2024,Enero,Perú,Acero,H.Eléctrico,147.76752796491115
2024,Enero,Perú,Acero,BOF,0.0
2024,Enero,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Enero,Trinidad y Tobago,Acero,BOF,
2024,Enero,Uruguay,Acero,H.Eléctrico,7.223680743862466
2024,Enero,Uruguay,Acero,BOF,0.0
2024,Enero,Venezuela,Acero,H.Eléctrico,2.105518030578391
2024,Enero,Venezuela,Acero,BOF,0.0
2024,Febrero,Argentina,Acero,H.Eléctrico,164.851
2024,Febrero,Argentina,Acero,BOF,158.757
2024,Febrero,Brasil,Acero,H.Eléctrico,661.58
2024,Febrero,Brasil,Acero,BOF,2101.7340000000004
2024,Febrero,Chile,Acero,H.Eléctrico,39.115
2024,Febrero,Chile,Acero,BOF,53.306537
2024,Febrero,Colombia,Acero,H.Eléctrico,120.196411
2024,Febrero,Colombia,Acero,BOF,0.0
2024,Febrero,Cuba,Acero,H.Eléctrico,18.370704615807007
2024,Febrero,Cuba,Acero,BOF,0.0
2024,Febrero,Ecuador,Acero,H.Eléctrico,55.083017506909314
2024,Febrero,Ecuador,Acero,BOF,0.0
2024,Febrero,El Salvador,Acero,H.Eléctrico,8.795144477344364
2024,Febrero,El Salvador,Acero,BOF,0.0
2024,Febrero,Guatemala,Acero,H.Eléctrico,26.08924218842829
2024,Febrero,Guatemala,Acero,BOF,0.0
2024,Febrero,México,Acero,H.Eléctrico,0.0
2024,Febrero,México,Acero,BOF,0.0
2024,Febrero,Paraguay,Acero,H.Eléctrico,0.0
2024,Febrero,Paraguay,Acero,BOF,1.1342137675608146
2024,Febrero,Perú,Acero,H.Eléctrico,128.91488309305186
2024,Febrero,Perú,Acero,BOF,0.0
2024,Febrero,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Febrero,Trinidad y Tobago,Acero,BOF,
2024,Febrero,Uruguay,Acero,H.Eléctrico,3.388799667636738
2024,Febrero,Uruguay,Acero,BOF,0.0
2024,Febrero,Venezuela,Acero,H.Eléctrico,2.0326235569221445
2024,Febrero,Venezuela,Acero,BOF,0.0
2024,Marzo,Argentina,Acero,H.Eléctrico,133.958
2024,Marzo,Argentina,Acero,BOF,107.482
2024,Marzo,Brasil,Acero,H.Eléctrico,607.408
2024,Marzo,Brasil,Acero,BOF,2155.151
2024,Marzo,Chile,Acero,H.Eléctrico,41.416
2024,Marzo,Chile,Acero,BOF,55.6456
2024,Marzo,Colombia,Acero,H.Eléctrico,123.49224
2024,Marzo,Colombia,Acero,BOF,0.0
2024,Marzo,Cuba,Acero,H.Eléctrico,17.037415974294284
2024,Marzo,Cuba,Acero,BOF,0.0
2024,Marzo,Ecuador,Acero,H.Eléctrico,52.75697901762075
2024,Marzo,Ecuador,Acero,BOF,0.0
2024,Marzo,El Salvador,Acero,H.Eléctrico,8.231736415863258
2024,Marzo,El Salvador,Acero,BOF,0.0
2024,Marzo,Guatemala,Acero,H.Eléctrico,24.09108757443555
2024,Marzo,Guatemala,Acero,BOF,0.0
2024,Marzo,México,Acero,H.Eléctrico,0.0
2024,Marzo,México,Acero,BOF,0.0
2024,Marzo,Paraguay,Acero,H.Eléctrico,0.0
2024,Marzo,Paraguay,Acero,BOF,0.6788551182537126
2024,Marzo,Perú,Acero,H.Eléctrico,155.5890453405008
2024,Marzo,Perú,Acero,BOF,0.0
2024,Marzo,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Marzo,Trinidad y Tobago,Acero,BOF,
2024,Marzo,Uruguay,Acero,H.Eléctrico,4.524778770774807
2024,Marzo,Uruguay,Acero,BOF,0.0
2024,Marzo,Venezuela,Acero,H.Eléctrico,2.376428169190833
2024,Marzo,Venezuela,Acero,BOF,0.0
2024,Abril,Argentina,Acero,H.Eléctrico,163.747
2024,Abril,Argentina,Acero,BOF,153.113
2024,Abril,Brasil,Acero,H.Eléctrico,677.892
2024,Abril,Brasil,Acero,BOF,2023.24
2024,Abril,Chile,Acero,H.Eléctrico,42.523
2024,Abril,Chile,Acero,BOF,54.3093
2024,Abril,Colombia,Acero,H.Eléctrico,122.555116
2024,Abril,Colombia,Acero,BOF,0.0
2024,Abril,Cuba,Acero,H.Eléctrico,11.651975633995058
2024,Abril,Cuba,Acero,BOF,0.0
2024,Abril,Ecuador,Acero,H.Eléctrico,33.203662372804935
2024,Abril,Ecuador,Acero,BOF,0.0
2024,Abril,El Salvador,Acero,H.Eléctrico,5.128015747406485
2024,Abril,El Salvador,Acero,BOF,0.0
2024,Abril,Guatemala,Acero,H.Eléctrico,16.868192144793547
2024,Abril,Guatemala,Acero,BOF,0.0
2024,Abril,México,Acero,H.Eléctrico,0.0
2024,Abril,México,Acero,BOF,0.0
2024,Abril,Paraguay,Acero,H.Eléctrico,0.0
2024,Abril,Paraguay,Acero,BOF,0.8736294364783107
2024,Abril,Perú,Acero,H.Eléctrico,110.98691385846115
2024,Abril,Perú,Acero,BOF,0.0
2024,Abril,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Abril,Trinidad y Tobago,Acero,BOF,
2024,Abril,Uruguay,Acero,H.Eléctrico,3.6507559094358917
2024,Abril,Uruguay,Acero,BOF,0.0
2024,Abril,Venezuela,Acero,H.Eléctrico,1.8631918325008798
2024,Abril,Venezuela,Acero,BOF,0.0
2024,Mayo,Argentina,Acero,H.Eléctrico,178.916
2024,Mayo,Argentina,Acero,BOF,133.161
2024,Mayo,Brasil,Acero,H.Eléctrico,638.733
2024,Mayo,Brasil,Acero,BOF,1916.146
2024,Mayo,Chile,Acero,H.Eléctrico,36.827
2024,Mayo,Chile,Acero,BOF,39.6819
2024,Mayo,Colombia,Acero,H.Eléctrico,123.666432
2024,Mayo,Colombia,Acero,BOF,0.0
2024,Mayo,Cuba,Acero,H.Eléctrico,11.651975633995058
2024,Mayo,Cuba,Acero,BOF,0.0
2024,Mayo,Ecuador,Acero,H.Eléctrico,34.67287386690574
2024,Mayo,Ecuador,Acero,BOF,0.0
2024,Mayo,El Salvador,Acero,H.Eléctrico,5.270063060805002
2024,Mayo,El Salvador,Acero,BOF,0.0
2024,Mayo,Guatemala,Acero,H.Eléctrico,16.279181391712548
2024,Mayo,Guatemala,Acero,BOF,0.0
2024,Mayo,México,Acero,H.Eléctrico,0.0
2024,Mayo,México,Acero,BOF,0.0
2024,Mayo,Paraguay,Acero,H.Eléctrico,0.0
2024,Mayo,Paraguay,Acero,BOF,0.8736294364783107
2024,Mayo,Perú,Acero,H.Eléctrico,128.04788725034754
2024,Mayo,Perú,Acero,BOF,0.0
2024,Mayo,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Mayo,Trinidad y Tobago,Acero,BOF,
2024,Mayo,Uruguay,Acero,H.Eléctrico,2.905767196760447
2024,Mayo,Uruguay,Acero,BOF,0.0
2024,Mayo,Venezuela,Acero,H.Eléctrico,1.8450288266261523
2024,Mayo,Venezuela,Acero,BOF,0.0
2024,Junio,Argentina,Acero,H.Eléctrico,137.285
2024,Junio,Argentina,Acero,BOF,137.527
2024,Junio,Brasil,Acero,H.Eléctrico,634.189
2024,Junio,Brasil,Acero,BOF,2205.849
2024,Junio,Chile,Acero,H.Eléctrico,35.509
2024,Junio,Chile,Acero,BOF,0.0
2024,Junio,Colombia,Acero,H.Eléctrico,100.33873
2024,Junio,Colombia,Acero,BOF,0.0
2024,Junio,Cuba,Acero,H.Eléctrico,10.952503045721132
2024,Junio,Cuba,Acero,BOF,0.0
2024,Junio,Ecuador,Acero,H.Eléctrico,33.98862294644882
2024,Junio,Ecuador,Acero,BOF,0.0
2024,Junio,El Salvador,Acero,H.Eléctrico,4.912818892843096
2024,Junio,El Salvador,Acero,BOF,0.0
2024,Junio,Guatemala,Acero,H.Eléctrico,15.995902034361395
2024,Junio,Guatemala,Acero,BOF,0.0
2024,Junio,México,Acero,H.Eléctrico,0.0
2024,Junio,México,Acero,BOF,0.0
2024,Junio,Paraguay,Acero,H.Eléctrico,0.0
2024,Junio,Paraguay,Acero,BOF,1.090574083021603
2024,Junio,Perú,Acero,H.Eléctrico,130.35860670172383
2024,Junio,Perú,Acero,BOF,0.0
2024,Junio,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Junio,Trinidad y Tobago,Acero,BOF,
2024,Junio,Uruguay,Acero,H.Eléctrico,3.1937517864076215
2024,Junio,Uruguay,Acero,BOF,0.0
2024,Junio,Venezuela,Acero,H.Eléctrico,1.9094128190620685
2024,Junio,Venezuela,Acero,BOF,0.0
2024,Julio,Argentina,Acero,H.Eléctrico,132.877
2024,Julio,Argentina,Acero,BOF,180.99
2024,Julio,Brasil,Acero,H.Eléctrico,716.558
2024,Julio,Brasil,Acero,BOF,2373.3920000000003
2024,Julio,Chile,Acero,H.Eléctrico,39.263
2024,Julio,Chile,Acero,BOF,16.6566
2024,Julio,Colombia,Acero,H.Eléctrico,115.36934
2024,Julio,Colombia,Acero,BOF,0.0
2024,Julio,Cuba,Acero,H.Eléctrico,12.345535546909543
2024,Julio,Cuba,Acero,BOF,0.0
2024,Julio,Ecuador,Acero,H.Eléctrico,36.152492465417424
2024,Julio,Ecuador,Acero,BOF,0.0
2024,Julio,El Salvador,Acero,H.Eléctrico,6.355200343628274
2024,Julio,El Salvador,Acero,BOF,0.0
2024,Julio,Guatemala,Acero,H.Eléctrico,17.450639514553348
2024,Julio,Guatemala,Acero,BOF,0.0
2024,Julio,México,Acero,H.Eléctrico,0.0
2024,Julio,México,Acero,BOF,0.0
2024,Julio,Paraguay,Acero,H.Eléctrico,0.0
2024,Julio,Paraguay,Acero,BOF,1.4622454108466516
2024,Julio,Perú,Acero,H.Eléctrico,121.84050111806391
2024,Julio,Perú,Acero,BOF,0.0
2024,Julio,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Julio,Trinidad y Tobago,Acero,BOF,
2024,Julio,Uruguay,Acero,H.Eléctrico,3.635891324541728
2024,Julio,Uruguay,Acero,BOF,0.0
2024,Julio,Venezuela,Acero,H.Eléctrico,2.108258755379667
2024,Julio,Venezuela,Acero,BOF,0.0
2024,Agosto,Argentina,Acero,H.Eléctrico,176.784
2024,Agosto,Argentina,Acero,BOF,170.073
2024,Agosto,Brasil,Acero,H.Eléctrico,724.991
2024,Agosto,Brasil,Acero,BOF,2275.545
2024,Agosto,Chile,Acero,H.Eléctrico,44.03
2024,Agosto,Chile,Acero,BOF,50.0537
2024,Agosto,Colombia,Acero,H.Eléctrico,82.28
2024,Agosto,Colombia,Acero,BOF,0.0
2024,Agosto,Cuba,Acero,H.Eléctrico,13.725941927838468
2024,Agosto,Cuba,Acero,BOF,0.0
2024,Agosto,Ecuador,Acero,H.Eléctrico,36.138713695717456
2024,Agosto,Ecuador,Acero,BOF,0.0
2024,Agosto,El Salvador,Acero,H.Eléctrico,5.630082915111454
2024,Agosto,El Salvador,Acero,BOF,0.0
2024,Agosto,Guatemala,Acero,H.Eléctrico,17.420339914932114
2024,Agosto,Guatemala,Acero,BOF,0.0
2024,Agosto,México,Acero,H.Eléctrico,0.0
2024,Agosto,México,Acero,BOF,0.0
2024,Agosto,Paraguay,Acero,H.Eléctrico,0.0
2024,Agosto,Paraguay,Acero,BOF,2.7291176107636663
2024,Agosto,Perú,Acero,H.Eléctrico,166.940028212057
2024,Agosto,Perú,Acero,BOF,0.0
2024,Agosto,Trinidad y Tobago,Acero,H.Eléctrico,
2024,Agosto,Trinidad y Tobago,Acero,BOF,
2024,Agosto,Uruguay,Acero,H.Eléctrico,4.104580440595935
2024,Agosto,Uruguay,Acero,BOF,0.0
2024,Agosto,Venezuela,Acero,H.Eléctrico,2.935898597438467
