Fecha,Familia_canacero,Vol. Ventas (ton)
2018-01,01.01 PLACA DE ROLLO,11895
2018-01,01.02 PLACA DE HOJA,3344
2018-01,02.01 LAMINA EN CALIENTE,10674
2018-01,03.01 LAMINA EN FRIO,994
2018-01,04.01 LAMINA GALVANIZADA,175
2018-01,05.01 PERFILES ESTRUCTURALES,11091
2018-01,06.01 PERFILES COMERCIALES,3079
2018-02,06.01 PERFILES COMERCIALES,2669
2018-02,05.01 PERFILES ESTRUCTURALES,9140
2018-02,04.01 LAMINA GALVANIZADA,143
2018-02,01.02 PLACA DE HOJA,2100
2018-02,02.01 LAMINA EN CALIENTE,7326
2018-02,01.01 PLACA DE ROLLO,9888
2018-02,03.01 LAMINA EN FRIO,753
2018-03,05.01 PERFILES ESTRUCTURALES,10238
2018-03,06.01 PERFILES COMERCIALES,3008
2018-03,03.01 LAMINA EN FRIO,935
2018-03,04.01 LAMINA GALVANIZADA,163
2018-03,01.02 PLACA DE HOJA,1427
2018-03,01.01 PLACA DE ROLLO,12495
2018-03,02.01 LAMINA EN CALIENTE,9297
2018-04,06.01 PERFILES COMERCIALES,3560
2018-04,04.01 LAMINA GALVANIZADA,148
2018-04,03.01 LAMINA EN FRIO,835
2018-04,05.01 PERFILES ESTRUCTURALES,8067
2018-04,01.02 PLACA DE HOJA,2159
2018-04,01.01 PLACA DE ROLLO,10563
2018-04,02.01 LAMINA EN CALIENTE,7331
2018-05,05.01 PERFILES ESTRUCTURALES,12012
2018-05,01.01 PLACA DE ROLLO,12415
2018-05,01.02 PLACA DE HOJA,1756
2018-05,02.01 LAMINA EN CALIENTE,8734
2018-05,03.01 LAMINA EN FRIO,939
2018-05,04.01 LAMINA GALVANIZADA,124
2018-05,06.01 PERFILES COMERCIALES,3641
2018-06,05.01 PERFILES ESTRUCTURALES,11877
2018-06,06.01 PERFILES COMERCIALES,3486
2018-06,04.01 LAMINA GALVANIZADA,191
2018-06,01.02 PLACA DE HOJA,1513
2018-06,02.01 LAMINA EN CALIENTE,5616
2018-06,03.01 LAMINA EN FRIO,646
2018-06,01.01 PLACA DE ROLLO,9158
2018-07,01.01 PLACA DE ROLLO,9364
2018-07,01.02 PLACA DE HOJA,1629
2018-07,02.01 LAMINA EN CALIENTE,6175
2018-07,03.01 LAMINA EN FRIO,719
2018-07,04.01 LAMINA GALVANIZADA,188
2018-07,05.01 PERFILES ESTRUCTURALES,9894
2018-07,06.01 PERFILES COMERCIALES,3512
2018-08,05.01 PERFILES ESTRUCTURALES,11155
2018-08,04.01 LAMINA GALVANIZADA,216
2018-08,03.01 LAMINA EN FRIO,638
2018-08,06.01 PERFILES COMERCIALES,3352
2018-08,01.02 PLACA DE HOJA,1714
2018-08,01.01 PLACA DE ROLLO,10297
2018-08,02.01 LAMINA EN CALIENTE,7024
2018-09,05.01 PERFILES ESTRUCTURALES,8742
2018-09,04.01 LAMINA GALVANIZADA,177
2018-09,03.01 LAMINA EN FRIO,600
2018-09,06.01 PERFILES COMERCIALES,2989
2018-09,01.02 PLACA DE HOJA,2143
2018-09,01.01 PLACA DE ROLLO,9435
2018-09,02.01 LAMINA EN CALIENTE,6637
2018-10,01.01 PLACA DE ROLLO,11917
2018-10,01.02 PLACA DE HOJA,2455
2018-10,02.01 LAMINA EN CALIENTE,8227
2018-10,03.01 LAMINA EN FRIO,788
2018-10,04.01 LAMINA GALVANIZADA,170
2018-10,05.01 PERFILES ESTRUCTURALES,9328
2018-10,06.01 PERFILES COMERCIALES,3152
2018-11,05.01 PERFILES ESTRUCTURALES,8760
